Experiment: Feb_8_Batch_expt_zeroed vial 0, Mon Feb  8 17:45:11 2021
0.0049,25871
0.0103,25884
0.0159,25891
0.0213,25903
0.0269,25919
0.0326,25927
0.0382,25929
0.0436,25942
0.0492,25954
0.0546,25962
0.0602,25958
0.0659,25966
0.0715,25975
0.0769,25981
0.0826,25971
0.088,25982
0.0936,25987
0.0992,25976
0.1046,25976
0.1102,25993
0.1159,25974
0.1215,25987
0.1269,25977
0.1325,25983
0.1381,25983
0.1435,25967
0.1491,25981
0.1548,25989
0.1604,25994
0.1658,25997
0.1715,25994
0.1768,25991
0.1825,25991
0.1881,26001
0.1938,26005
0.2032,25997
0.2046,26016
0.2103,26017
0.216,26014
0.2213,26021
0.2269,26012
0.2359,26007
0.238,26011
0.2436,26008
0.2493,26017
0.2607,26023
0.2622,26015
0.2659,26014
0.2713,26018
0.282,26007
0.2827,26019
0.2881,26025
0.2937,26030
0.3039,26031
0.3046,26037
0.3103,26024
0.3159,26032
0.3254,26035
0.3271,26042
0.3324,26034
0.3381,26045
0.3437,26031
0.354,26035
0.3567,26031
0.3604,26034
0.3658,26053
0.3764,26045
0.3788,26055
0.3825,26044
0.3881,26043
0.398,26043
0.3991,26059
0.4047,26053
0.4104,26055
0.4158,26069
0.4214,26063
0.427,26069
0.4327,26066
0.438,26061
0.4437,26066
0.4493,26073
0.4547,26073
0.4603,26064
0.466,26053
0.4713,26067
0.477,26060
0.4826,26068
0.488,26059
0.4937,26059
0.4993,26061
0.5047,26071
0.5103,26062
0.5159,26059
0.5216,26065
0.5269,26071
0.5326,26073
0.5379,26068
0.5436,26068
0.5492,26063
0.5549,26063
0.5602,26070
0.5659,26068
0.5715,26070
0.5769,26079
0.5825,26073
0.5881,26082
0.5938,26090
0.5992,26090
0.6048,26084
0.6102,26082
0.6159,26074
0.6215,26088
0.6269,26106
0.6324,26096
0.6381,26092
0.6437,26096
0.6491,26101
0.6547,26090
0.6603,26086
0.666,26094
0.6713,26101
0.6769,26103
0.6826,26108
0.6882,26101
0.6935,26115
0.6992,26109
0.7048,26095
0.7102,26099
0.7158,26097
0.7214,26114
0.7271,26113
0.7324,26112
0.7381,26109
0.7437,26121
0.7493,26133
0.7547,26133
0.7603,26122
0.766,26128
0.7713,26144
0.777,26124
0.7826,26142
0.7882,26145
0.7936,26153
0.7992,26130
0.8049,26142
0.8102,26144
0.8159,26142
0.8215,26149
0.8271,26162
0.8325,26166
0.8381,26159
0.8438,26168
0.8491,26168
0.8548,26163
0.8604,26155
0.8658,26149
0.8714,26169
0.877,26171
0.8827,26172
0.888,26166
0.8936,26170
0.8993,26178
0.9049,26184
0.9102,26187
0.9159,26188
0.9215,26180
0.9269,26184
0.9325,26170
0.9381,26183
0.9438,26174
0.9491,26189
0.9548,26200
0.9604,26197
0.9658,26189
0.9714,26197
0.977,26189
0.9827,26204
0.988,26214
0.9937,26200
0.9993,26212
1.0047,26216
1.0103,26209
1.016,26214
1.0213,26208
1.027,26220
1.0326,26213
1.0382,26213
1.0436,26224
1.0492,26242
1.0548,26237
1.0602,26250
1.0659,26252
1.0715,26237
1.0769,26245
1.0825,26249
1.0882,26240
1.0936,26247
1.0992,26248
1.1048,26244
1.1105,26274
1.1158,26270
1.1215,26249
1.1271,26270
1.1325,26260
1.1381,26268
1.1437,26253
1.1494,26273
1.1547,26281
1.1603,26264
1.166,26276
1.1713,26273
1.177,26269
1.1826,26276
1.1883,26264
1.1936,26286
1.1993,26286
1.2049,26287
1.2103,26288
1.2159,26306
1.2215,26300
1.2269,26304
1.2325,26298
1.238,26287
1.2436,26325
1.2492,26309
1.2548,26330
1.2605,26289
1.2658,26315
1.2714,26325
1.2771,26318
1.2824,26329
1.2881,26318
1.2938,26325
1.2991,26321
1.3048,26324
1.3104,26322
1.3158,26327
1.3215,26339
1.3271,26357
1.3325,26331
1.3381,26343
1.3438,26332
1.3492,26344
1.3548,26348
1.3604,26333
1.3658,26348
1.3715,26349
1.3771,26349
1.3825,26345
1.3882,26366
1.3938,26359
1.3992,26366
1.4048,26348
1.4102,26347
1.4158,26358
1.4215,26346
1.4271,26370
1.4325,26367
1.4381,26348
1.4437,26365
1.4491,26377
1.4547,26387
1.4604,26389
1.466,26395
1.4714,26411
1.477,26393
1.4826,26380
1.4883,26381
1.4936,26406
1.4992,26364
1.5048,26386
1.5105,26389
1.5158,26388
1.5215,26385
1.527,26369
1.5324,26381
1.5381,26388
1.5438,26372
1.5491,26366
1.5548,26362
1.5604,26383
1.5658,26388
1.5714,26367
1.577,26368
1.5827,26380
1.588,26403
1.5937,26346
1.5993,26360
1.6047,26382
1.6103,26371
1.6159,26355
1.6215,26367
1.6271,26348
1.6325,26362
1.6381,26376
1.6437,26328
1.6493,26356
1.6547,26368
1.6603,26337
1.6659,26350
1.6715,26345
1.6769,26344
1.6825,26318
1.6882,26312
1.6938,26335
1.6992,26305
1.7048,26329
1.7105,26311
1.7158,26347
1.7215,26335
1.7271,26310
1.7327,26334
1.7381,26324
1.7438,26323
1.7491,26296
1.7548,26299
1.7604,26276
1.7658,26299
1.7714,26307
1.7771,26257
1.7827,26260
1.7881,26269
1.7937,26259
1.7993,26268
1.8047,26225
1.8103,26244
1.816,26230
1.8214,26256
1.827,26252
1.8326,26226
1.8383,26216
1.8436,26203
1.8492,26191
1.8549,26179
1.8603,26217
1.8659,26210
1.8715,26202
1.8772,26212
1.8825,26205
1.8881,26154
1.8937,26167
1.8994,26187
1.9047,26173
1.9103,26158
1.9159,26144
1.9216,26126
1.9269,26099
1.9326,26120
1.9381,26057
1.9437,26099
1.9491,26047
1.9548,26053
1.9604,26093
1.9658,26060
1.9714,26056
1.977,26037
1.9827,26042
1.9881,26020
1.9937,26037
1.9993,25991
2.0047,26028
2.0104,25990
2.0158,26000
2.0214,25977
2.027,25976
2.0327,25919
2.0381,25914
2.0437,25908
2.0493,25938
2.0547,25859
2.0604,25876
2.066,25870
2.0714,25886
2.077,25900
2.0827,25889
2.088,25857
2.0937,25863
2.0993,25853
2.1047,25865
2.1103,25814
2.1159,25807
2.1216,25837
2.1269,25836
2.1326,25788
2.1382,25777
2.1438,25805
2.1492,25767
2.1548,25738
2.1604,25742
2.1658,25730
2.1714,25764
2.177,25745
2.1827,25737
2.188,25703
2.1937,25699
2.1992,25702
2.2048,25687
2.2102,25698
2.2158,25649
2.2215,25643
2.227,25653
2.2327,25624
2.2381,25622
2.2437,25598
2.2493,25644
2.2547,25605
2.2603,25581
2.266,25582
2.2713,25593
2.277,25596
2.2826,25582
2.2883,25548
2.2937,25540
2.2993,25537
2.3047,25537
2.3103,25517
2.3159,25546
