Experiment: Mar_18_osmo_expt vial 12, Thu Mar 18 18:20:50 2021
0.0052,56551
0.0109,56551
0.0165,56547
0.0219,56544
0.0275,56541
0.0332,56542
0.0388,56547
0.0442,56545
0.0498,56547
0.0554,56551
0.0608,56546
0.0664,56552
0.072,56545
0.0777,55700
0.083,55538
0.0887,55543
0.0943,55548
0.0997,55555
0.1053,55568
0.111,55565
0.1163,55564
0.122,55568
0.1276,55583
0.1332,55585
0.1386,55575
0.1442,55580
0.1498,55589
0.1554,55580
0.1608,55595
0.1664,55587
0.1721,55590
0.1774,55587
0.183,55594
0.1887,55590
0.1943,55586
0.1997,55600
0.2053,55593
0.2109,55586
0.2166,55591
0.2219,55591
0.2276,55595
0.2332,55599
0.2386,55590
0.2442,55592
0.2498,55593
0.2555,55589
0.2608,55597
0.2665,55596
0.2721,55595
0.2775,55597
0.283,55595
0.2886,55596
0.2942,55586
0.2999,55594
0.3052,55597
0.3108,55593
0.3164,55588
0.3221,55597
0.3275,55600
0.3331,55588
0.3386,55586
0.3442,55598
0.3499,55597
0.3552,55601
0.3608,55590
0.3664,55591
0.372,55586
0.3774,55576
0.383,55586
0.3887,55586
0.3942,55585
0.3998,55584
0.4052,55578
0.4108,55577
0.4165,55575
0.422,55579
0.4277,55581
0.433,55580
0.4387,55572
0.4443,55572
0.4496,55578
0.4553,55575
0.4609,55563
0.4666,55575
0.4719,55565
0.4776,55562
0.4832,55559
0.4885,55557
0.4942,55562
0.4998,55557
0.5054,55551
0.5108,55546
0.5164,55556
0.522,55547
0.5277,55559
0.533,55530
0.5387,55545
0.5443,55541
0.5497,55540
0.5553,55553
0.561,55534
0.5666,55546
0.572,55540
0.5776,55532
0.5832,55547
0.5886,55533
0.5942,55517
0.5999,55536
0.6052,55529
0.6108,55535
0.6165,55526
0.6221,55525
0.6277,55524
0.6331,55513
0.6387,55519
0.6444,55509
0.6497,55521
0.6554,55519
0.661,55500
0.6663,55523
0.672,55512
0.6776,55498
0.6832,55492
0.6886,55500
0.6942,55501
0.6999,55487
0.7052,55487
0.7109,55491
0.7165,55505
0.7221,55494
0.7275,55480
0.7331,55484
0.7388,55487
0.7441,55487
0.7498,55487
0.7554,55487
0.7607,55475
0.7664,55470
0.772,55471
0.7777,55468
0.783,55472
0.7887,55470
0.7943,55476
0.7997,55472
0.8053,55477
0.8109,55463
0.8166,55470
0.8219,55471
0.8276,55470
0.8332,55474
0.8385,55457
0.8442,55454
0.8498,55475
0.8555,55465
0.8608,55458
0.8664,55454
0.872,55454
0.8777,55462
0.883,55454
0.8887,55455
0.8943,55443
0.8997,55451
0.9053,55453
0.9109,55449
0.9163,55439
0.9219,55437
0.9276,55450
0.9332,55434
0.9388,55449
0.9442,55444
0.9498,55423
0.9555,55430
0.9608,55436
0.9663,55445
0.972,55437
0.9776,55435
0.9832,55424
0.9886,55428
0.9941,55425
0.9998,55434
1.0054,55423
1.0108,55420
1.0164,55424
1.022,55420
1.0276,55430
1.0332,55412
1.0386,55423
1.0443,55412
1.0498,55408
1.0554,55419
1.0608,55408
1.0664,55409
1.072,55400
1.0776,55408
1.0832,55403
1.0886,55400
1.0942,55399
1.0999,55400
1.1054,55401
1.111,55393
1.1164,55391
1.122,55384
1.1276,55378
1.133,55401
1.1386,55392
1.1443,55380
1.1499,55377
1.1553,55386
1.1609,55366
1.1666,55375
1.1719,55366
1.1776,55373
1.1832,55362
1.1888,55366
1.1942,55363
1.1998,55369
1.2054,55357
1.2108,55357
1.2164,55368
1.222,55357
1.2277,55362
1.233,55358
1.2387,55346
1.2443,55347
1.2499,55337
1.2553,55343
1.2609,55335
1.2666,55335
1.2719,55342
1.2776,55328
1.2832,55323
1.2888,55327
1.2942,55332
1.2998,55337
1.3055,55313
1.3108,55328
1.3165,55322
1.3221,55330
1.3275,55322
1.3331,55310
1.3387,55310
1.3444,55307
1.3497,55316
1.3554,55303
1.361,55309
1.3664,55303
1.372,55295
1.3776,55300
1.383,55312
1.3886,55311
1.3943,55301
1.3999,55298
1.4053,55297
1.4109,55277
1.4166,55289
1.4219,55291
1.4275,55290
1.4332,55264
1.4388,55272
1.4442,55273
1.4498,55271
1.4554,55270
1.4608,55251
1.4664,55277
1.4721,55259
1.4777,55245
1.4831,55243
1.4887,55245
1.4943,55238
1.4997,55238
1.5053,55245
1.511,55228
1.5166,55236
1.522,55230
1.5276,55236
1.5333,55236
1.5386,55234
1.5443,55222
1.5499,55229
1.5553,55234
1.5609,55225
1.5665,55231
1.5722,55230
1.5775,55206
1.5832,55208
1.5888,55216
1.5942,55203
1.5998,55200
1.6054,55198
1.6108,55202
1.6165,55189
1.6221,55188
1.6277,55176
1.6331,55200
1.6387,55178
1.6443,55197
1.6497,55193
1.6553,55204
1.661,55187
1.6666,55174
1.6719,55185
1.6776,55167
1.6832,55190
1.6886,55176
1.6942,55174
1.6998,55174
1.7055,55167
1.7108,55168
1.7164,55160
1.7221,55152
1.7277,55167
1.7331,55157
1.7387,55158
1.7443,55145
1.7497,55141
1.7553,55126
