Experiment: Mar_18_osmo_expt vial 10, Thu Mar 18 18:20:50 2021
2.2275,59570
2.2332,59570
2.2388,59566
2.2442,59569
2.2498,59566
2.2555,59570
2.2608,59566
2.2665,59567
2.2721,59569
2.2775,59570
2.2831,59571
2.2887,59568
2.2944,59568
2.2997,59569
2.3054,59571
2.311,59571
2.3166,59566
2.322,59570
2.3277,59568
2.3333,59570
2.3386,59569
2.3443,59572
2.3499,59568
2.3555,59570
2.3609,59568
2.3665,59566
2.3721,59567
2.3775,59571
2.3831,59567
2.3888,59567
2.3944,59565
2.3998,59568
2.4054,59571
2.4108,59567
2.4164,59570
2.4221,59569
2.4277,59572
2.4331,59571
2.4387,59566
2.4443,59571
2.45,59568
2.4553,59571
2.461,59565
2.4666,59565
2.4719,59567
2.4776,59568
2.4832,59564
2.4888,59569
2.4942,59566
2.4998,59569
2.5055,59571
2.5108,59567
2.5164,59570
2.522,59568
2.5276,59570
2.5333,59567
2.5386,59570
2.5442,59565
2.5498,59566
2.5554,59567
2.5608,59569
2.5665,59570
2.572,59566
2.5776,59570
2.5833,59567
2.5886,59566
2.5942,59569
2.5998,59568
2.6054,59568
2.6111,59570
2.6164,59565
2.6221,59570
2.6276,59568
2.6332,59566
2.6386,59565
2.6442,59569
2.6499,59566
2.6554,59566
2.6611,59569
2.6664,59570
2.672,59567
2.6777,59566
2.683,59566
2.6886,59568
2.6943,59567
2.6999,59566
2.7055,59567
2.7109,59570
2.7165,59571
2.7222,59566
2.7275,59567
2.7332,59565
2.7388,59567
2.7442,59567
2.7498,59566
2.7554,59566
2.7611,59565
2.7665,59567
2.7721,59566
2.7777,59565
2.7831,59571
2.7887,59568
2.7943,59561
2.8,59566
2.8053,59566
2.811,59564
2.8166,59569
2.822,59564
2.8276,59570
2.8332,59567
2.8389,59567
2.8442,59568
2.8499,59569
2.8555,59566
2.8609,59566
2.8665,59568
2.8721,59565
2.8775,59567
2.8831,59572
2.8888,59571
2.8944,59568
2.8998,59569
2.9054,59570
2.9108,59575
2.9164,59568
2.9221,59566
2.9277,59568
2.9331,59566
2.9387,59566
2.9444,59567
2.9497,59565
2.9554,59563
2.961,59566
2.9664,59567
2.972,59567
2.9777,59562
2.983,59568
2.9887,59566
2.9943,59565
2.9997,59567
3.0054,59566
3.011,59568
3.0166,59565
3.022,59564
3.0277,59566
3.033,59566
3.0387,59567
3.0443,59567
3.0499,59567
3.0553,59564
3.0609,59564
3.0666,59561
3.0722,59562
3.0775,59566
3.0832,59568
3.0889,59563
3.0942,59564
3.0999,59566
3.1055,59565
3.1109,59565
3.1166,59564
3.1222,59563
3.1276,59565
3.1332,59565
3.1388,59563
3.1442,59565
3.1498,59565
3.1554,59566
3.1611,59566
3.1664,59565
3.1721,59564
3.1775,59565
3.1831,59564
3.1888,59566
3.1944,59566
3.1998,59562
3.2054,59565
3.2108,59565
3.2164,59568
3.2221,59566
3.2277,59563
3.2331,59564
3.2387,59564
3.2444,59564
3.2497,59566
3.2553,59567
3.261,59564
3.2666,59564
3.272,59566
3.2776,59566
3.2833,59566
3.2887,59565
3.2943,59566
3.2999,59569
3.3053,59562
3.3109,59565
3.3166,59566
3.322,59568
3.3276,59567
3.3332,59563
3.3389,59564
3.3442,59568
3.3499,59567
3.3555,59566
3.3608,59566
3.3665,59564
3.3721,59566
3.3778,59569
3.3831,59566
3.3888,59566
3.3944,59568
3.3998,59566
3.4054,59567
3.4111,59570
3.4164,59566
3.4221,59570
3.4277,59568
3.4331,59569
3.4388,59569
3.4444,59568
3.4498,59570
3.4554,59569
3.461,59568
3.4664,59568
3.4721,59567
3.4777,59570
3.4831,59570
3.4887,59566
3.4942,59568
3.4998,59567
3.5055,59570
3.5111,59570
3.5165,59566
3.522,59569
3.5276,59568
3.5333,59570
3.5386,59567
3.5443,59566
3.5498,59568
3.5554,59565
3.5611,59568
3.5664,59567
3.572,59565
3.5776,59567
3.5832,59568
3.5886,59567
3.5942,59568
3.5999,59567
3.6054,59568
3.6111,59567
3.6164,59568
3.6221,59567
3.6277,59566
3.6331,59563
3.6387,59564
3.6444,59566
3.6497,59566
3.6554,59566
3.661,59571
3.6667,59566
3.672,59564
3.6777,59567
3.6833,59566
3.6887,59566
3.6943,59568
3.7,59567
3.7053,59565
3.711,59562
3.7166,59566
3.722,59567
3.7276,59567
3.7332,59566
3.7389,59565
3.7442,59567
3.7499,59565
3.7555,59568
3.7609,59568
3.7665,59566
3.7721,59569
3.7775,59568
3.7831,59569
3.7888,59565
3.7944,59566
3.7998,59565
3.8054,59568
3.811,59567
3.8164,59570
3.822,59567
3.8277,59564
3.8333,59563
3.8387,59567
3.8443,59564
3.85,59566
3.8553,59565
3.861,59564
3.8666,59566
3.872,59563
3.8777,59566
3.8833,59566
3.8886,59564
3.8943,59565
3.8999,59563
3.9053,59567
3.911,59570
3.9166,59568
3.922,59566
3.9276,59566
3.9333,59566
3.9386,59566
3.9443,59569
3.9499,59565
3.9553,59565
3.9609,59566
3.9666,59562
3.972,59562
3.9776,59570
3.9833,59568
3.9886,59569
3.9943,59566
3.9999,59565
4.0053,59566
4.0109,59567
4.0166,59569
4.0222,59568
4.0276,59568
4.0332,59565
4.0389,59565
4.0442,59564
4.0499,59567
4.0555,59565
4.0609,59568
4.0665,59569
4.0722,59567
4.0775,59568
4.0832,59567
4.0888,59571
4.0942,59565
4.0998,59566
4.1055,59569
4.1111,59569
4.1165,59566
4.1221,59568
4.1278,59567
4.1332,59568
4.1388,59563
4.1444,59568
4.1497,59566
4.1554,59566
4.161,59568
4.1667,59567
4.172,59568
4.1775,59566
4.1832,59567
4.1888,59567
4.1945,59564
4.1998,59567
4.2053,59570
4.211,59564
4.2166,59564
4.222,59561
4.2276,59563
4.2331,59565
4.2388,59561
4.2442,59562
4.2498,59564
4.2555,59564
4.2609,59563
4.2665,59560
4.2721,59564
4.2778,59567
4.2831,59565
4.2888,59563
4.2944,59564
4.2998,59565
4.3054,59564
4.311,59563
4.3164,59565
4.3221,59564
4.3277,59564
4.3331,59564
4.3387,59563
4.3444,59564
4.35,59563
4.3553,59565
4.361,59567
4.3666,59566
4.372,59566
4.3776,59565
4.3832,59564
4.3886,59563
4.3942,59566
4.3999,59567
4.4055,59564
4.4109,59562
4.4165,59563
4.4222,59567
4.4275,59565
4.4332,59561
4.4388,59565
4.4445,59566
4.4498,59566
4.4555,59565
4.4611,59564
4.4665,59567
4.4721,59565
4.4777,59566
4.4834,59563
4.4887,59561
4.4944,59561
4.4998,59564
4.5054,59566
4.511,59563
4.5167,59565
4.522,59564
4.5277,59567
4.5333,59564
4.5387,59564
4.5443,59564
4.55,59566
4.5556,59567
4.561,59567
4.5666,59565
4.572,59564
4.5776,59565
4.5833,59566
4.5886,59567
4.5943,59565
4.5999,59565
4.6053,59567
4.611,59564
4.6166,59564
4.622,59563
4.6276,59563
4.6333,59565
4.6389,59562
4.6443,59563
4.6499,59564
4.6555,59566
4.6609,59568
4.6665,59568
4.6722,59567
4.6775,59564
4.6832,59562
4.6888,59562
4.6945,59562
4.6998,59566
4.7055,59563
4.7111,59567
4.7165,59565
4.7221,59566
4.7277,59563
4.7331,59562
4.7387,59565
4.7444,59565
4.75,59563
4.7554,59564
4.761,59569
4.7667,59566
4.772,59560
4.7776,59564
4.7833,59565
4.7886,59562
4.7943,59565
4.7999,59565
4.8056,59564
4.8109,59564
4.8166,59567
4.8222,59564
4.8276,59568
4.8332,59568
4.8389,59564
4.8442,59566
4.8499,59564
4.8555,59567
4.8609,59563
4.8665,59568
4.8722,59566
4.8776,59565
4.8832,59566
4.8889,59565
4.8943,59563
4.8999,59564
4.9055,59568
4.9109,59564
4.9165,59564
4.9222,59564
4.9278,59565
4.9332,59562
4.9388,59565
4.9445,59563
4.9499,59563
4.9555,59565
4.9611,59565
4.9665,59565
4.9721,59563
4.9775,59564
4.9832,59566
4.9888,59567
4.9944,59566
4.9998,59564
5.0055,59564
5.0108,59564
5.0165,59566
5.0221,59566
5.0278,59566
5.0331,59563
5.0388,59566
5.0444,59567
5.0497,59565
5.0554,59565
5.061,59562
5.0667,59564
5.072,59567
5.0776,59565
5.0833,59568
5.0889,59564
5.0943,59562
5.0998,59563
5.1054,59563
5.1111,59566
5.1167,59565
5.1221,59567
5.1276,59568
5.1333,59564
5.1389,59566
5.1443,59566
5.1499,59567
5.1554,59566
5.161,59564
5.1667,59567
5.172,59566
5.1777,59563
5.1832,59566
5.1889,59562
5.1942,59560
5.1998,59566
5.2055,59564
5.211,59563
5.2167,59566
5.222,59565
5.2277,59567
5.2333,59567
5.2386,59566
5.2443,59565
5.2499,59566
5.2556,59565
5.2609,59564
5.2665,59568
5.2722,59564
5.2775,59567
5.2832,59565
5.2888,59564
5.2944,59565
5.2998,59563
5.3054,59565
5.311,59563
5.3167,59564
5.322,59564
5.3277,59566
5.3333,59568
5.3387,59563
5.3443,59560
5.3499,59564
5.3556,59565
5.3609,59562
5.3666,59567
5.3722,59566
5.3775,59568
5.3832,59566
5.3888,59564
5.3945,59564
5.3998,59568
5.4055,59562
5.4111,59562
5.4165,59566
5.4221,59562
5.4277,59564
5.4331,59564
5.4387,59563
5.4444,59561
5.45,59565
5.4554,59564
5.461,59567
5.4667,59563
5.472,59566
5.4776,59563
5.4833,59563
5.4889,59565
5.4943,59565
5.4999,59565
5.5053,59562
5.5109,59566
5.5166,59562
5.5222,59561
5.5276,59565
5.5332,59564
5.5388,59567
5.5442,59565
5.5498,59566
5.5555,59565
5.5611,59565
5.5665,59564
5.5721,59569
5.5778,59566
5.5831,59567
5.5888,59563
5.5944,59568
5.6,59566
5.6054,59566
5.611,59568
5.6166,59567
5.6223,59567
5.6276,59564
5.6333,59567
5.6389,59565
5.6443,59566
5.6499,59567
5.6555,59568
5.6609,59568
5.6665,59565
5.6721,59566
5.6778,59567
5.6831,59568
5.6888,59564
5.6944,59569
5.6998,59564
5.7054,59565
5.7111,59565
5.7167,59565
5.7221,59566
5.7277,59564
5.7333,59562
5.7387,59562
5.7443,59564
5.75,59563
5.7553,59564
5.761,59566
5.7666,59563
5.7722,59562
5.7776,59558
5.7831,59560
5.7888,59562
5.7944,59565
5.8,59563
5.8054,59560
5.811,59563
5.8166,59563
5.8223,59561
5.8276,59562
5.8332,59562
5.8388,59565
5.8444,59560
5.8501,59562
5.8554,59565
5.861,59565
5.8666,59564
5.8722,59563
5.8776,59562
5.8832,59562
5.8888,59566
5.8944,59562
5.8998,59560
5.9054,59561
5.911,59562
5.9166,59566
5.9222,59564
5.9276,59562
5.9332,59566
5.9389,59566
5.9445,59566
5.9499,59561
5.9555,59566
5.9611,59566
5.9665,59565
5.9721,59567
5.9777,59567
5.9831,59567
5.9887,59565
5.9944,59568
6.0,59564
6.0054,59565
6.011,59565
6.0167,59567
6.022,59564
6.0276,59565
6.0333,59566
6.0389,59564
6.0443,59565
6.0499,59565
6.0555,59565
6.0609,59562
6.0665,59561
6.0722,59566
6.0778,59566
6.0832,59564
6.0889,59566
6.0942,59564
6.0998,59569
6.1055,59567
6.1111,59567
6.1165,59567
6.1221,59566
6.1278,59566
6.1332,59564
6.1388,59565
6.1445,59561
6.1498,59564
6.1555,59568
6.1611,59564
6.1665,59569
6.1721,59562
6.1778,59568
6.1834,59565
6.1887,59564
6.1944,59567
6.1998,59567
6.2054,59568
6.211,59567
6.2167,59567
6.222,59566
6.2277,59567
6.2333,59566
6.239,59564
6.2443,59569
6.25,59566
6.2556,59565
6.261,59566
6.2666,59567
6.2722,59568
6.2776,59566
6.2832,59566
6.2889,59569
6.2942,59566
6.2999,59567
6.3055,59566
6.3111,59567
6.3165,59565
6.3222,59567
6.3278,59566
6.3332,59567
6.3388,59570
6.3444,59567
6.3498,59565
6.3554,59565
6.3611,59569
6.3665,59568
6.3721,59568
6.3777,59566
6.3834,59564
6.3887,59567
6.3944,59566
6.4,59568
6.4054,59563
6.4111,59563
6.4164,59565
6.4221,59566
6.4277,59561
6.4334,59563
6.4387,59568
6.4444,59563
6.45,59563
6.4553,59565
6.461,59565
6.4666,59566
6.4723,59562
6.4776,59561
6.4832,59562
6.4889,59560
6.4945,59562
6.4999,59563
6.5055,59565
6.5111,59565
6.5165,59564
6.5221,59564
6.5278,59565
6.5331,59565
6.5388,59565
6.5444,59561
6.5501,59564
6.5554,59562
6.561,59565
6.5667,59568
6.572,59567
6.5777,59564
6.5833,59566
6.5889,59563
6.5943,59566
6.6,59568
6.6056,59562
6.611,59564
6.6166,59565
6.6222,59564
6.6276,59568
6.6333,59567
6.6389,59562
6.6443,59566
6.6499,59562
6.6555,59566
6.6612,59566
6.6665,59563
6.6722,59564
6.6776,59562
6.6832,59564
6.6889,59565
6.6945,59566
6.6998,59563
6.7054,59563
6.711,59564
6.7167,59564
6.7223,59563
6.7276,59565
6.7332,59565
6.7388,59567
6.7445,59564
6.7498,59565
6.7555,59566
6.761,59564
6.7666,59565
6.7723,59563
6.7777,59564
6.7833,59561
6.7887,59565
6.7943,59564
6.8,59565
6.8056,59561
6.811,59564
6.8166,59562
6.8222,59566
6.8276,59566
6.8333,59567
6.8389,59564
6.8443,59563
6.8499,59561
6.8555,59564
6.8609,59565
6.8666,59565
6.8722,59565
6.8779,59563
6.8832,59563
6.8889,59563
6.8942,59566
6.8999,59565
6.9055,59564
6.9112,59563
6.9165,59564
6.9222,59565
6.9278,59567
6.9332,59562
6.9388,59562
6.9445,59566
6.9498,59564
6.9554,59563
6.9611,59563
6.9664,59564
6.9721,59563
6.9777,59564
6.9834,59562
6.9887,59566
6.9944,59567
7.0,59564
7.0054,59566
7.011,59562
7.0167,59563
7.0223,59564
7.0277,59565
7.0333,59565
7.0387,59566
7.0443,59565
7.05,59566
7.0556,59566
7.061,59565
7.0666,59564
7.072,59568
7.0777,59564
7.0833,59564
7.0887,59567
7.0943,59564
7.1,59566
7.1056,59564
7.111,59562
7.1166,59564
7.122,59564
7.1277,59562
7.1333,59564
7.1389,59562
7.1443,59564
7.1499,59566
7.1556,59565
7.161,59561
7.1666,59566
7.1723,59564
7.1776,59564
7.1833,59563
7.1889,59562
7.1943,59565
7.1999,59564
7.2055,59567
7.2112,59567
7.2166,59562
7.2222,59565
7.2276,59564
7.2332,59564
7.2388,59565
7.2445,59563
7.2498,59566
7.2555,59565
7.2611,59564
7.2665,59568
7.2721,59566
7.2778,59565
7.2831,59568
7.2888,59567
7.2944,59562
7.2998,59566
7.3054,59566
7.3111,59560
7.3167,59561
7.3221,59566
7.3278,59563
7.3334,59563
7.3388,59564
7.3444,59565
7.35,59564
7.3554,59564
7.3609,59563
7.3666,59565
7.3722,59566
7.3779,59564
7.3832,59562
7.3887,59564
7.3944,59567
7.4,59568
7.4054,59566
7.411,59567
7.4166,59564
7.4222,59561
7.4278,59565
7.4332,59568
7.4389,59561
7.4444,59565
7.45,59563
7.4554,59566
7.461,59567
7.4666,59564
7.4722,59565
7.4778,59566
7.4832,59568
7.4888,59566
7.4945,59567
7.4998,59566
7.5055,59564
7.5111,59566
7.5165,59563
7.5221,59562
7.5278,59564
7.5332,59567
7.5388,59566
7.5444,59566
7.5501,59565
7.5554,59568
7.5611,59563
7.5667,59563
7.5721,59567
7.5777,59560
7.5833,59563
7.5887,59565
7.5944,59561
7.6,59564
7.6054,59564
7.611,59562
7.6166,59567
7.6223,59561
7.6276,59563
7.6333,59565
7.6389,59563
7.6443,59566
7.6499,59562
7.6556,59566
7.6609,59565
7.6665,59565
7.6722,59563
7.6778,59565
7.6832,59565
7.6888,59564
7.6945,59563
7.6998,59566
7.7055,59564
7.7111,59563
7.7168,59566
7.7221,59564
7.7278,59562
7.7331,59563
7.7388,59562
7.7444,59566
7.7498,59566
7.7554,59564
7.7611,59563
7.7667,59566
7.7721,59562
7.7777,59561
7.7834,59565
7.7888,59565
7.7944,59567
7.8001,59567
7.8054,59564
7.8111,59564
7.8167,59566
7.8221,59562
7.8277,59566
7.8333,59564
7.839,59565
7.8443,59562
7.85,59563
7.8556,59562
7.861,59562
7.8666,59563
7.8723,59563
7.8776,59562
7.8832,59562
7.8889,59564
7.8945,59563
7.8999,59565
7.9055,59566
7.9111,59564
7.9165,59563
7.9221,59564
7.9278,59563
7.9334,59563
7.9388,59559
7.9444,59563
7.95,59562
7.9554,59564
7.961,59562
7.9667,59562
7.972,59565
7.9777,59565
7.9833,59565
7.989,59563
7.9943,59560
8.0,59566
8.0056,59563
8.011,59564
8.0166,59563
8.022,59561
8.0277,59562
8.0333,59561
8.039,59565
8.0443,59566
8.05,59563
8.0556,59566
8.061,59565
8.0666,59568
8.0722,59566
8.0779,59566
8.0832,59567
8.0889,59566
8.0945,59567
8.0999,59566
8.1055,59566
8.1111,59566
8.1165,59565
8.1221,59567
8.1278,59566
8.1334,59565
8.1388,59567
8.1444,59566
8.15,59564
8.1554,59567
8.161,59560
8.1667,59566
8.1723,59564
8.1776,59563
8.1833,59566
8.1889,59563
8.1943,59563
8.1998,59563
8.2055,59564
8.2111,59564
8.2167,59563
8.2221,59567
8.2276,59564
8.2333,59563
8.2389,59562
8.2445,59565
8.2499,59563
8.2554,59565
8.2611,59565
8.2667,59561
8.2721,59565
8.2777,59562
8.2832,59564
8.2889,59568
8.2945,59562
8.2999,59567
8.3055,59567
8.311,59560
8.3167,59566
8.3221,59561
8.3277,59565
8.3334,59568
8.3388,59565
8.3444,59565
8.35,59562
8.3554,59564
8.361,59564
8.3667,59565
8.3723,59565
8.3777,59564
8.3833,59560
8.3889,59563
8.3943,59565
8.3999,59561
8.4055,59563
8.4112,59565
8.4165,59565
8.4222,59565
8.4278,59564
8.4332,59564
8.4388,59564
8.4445,59564
8.4501,59568
8.4554,59564
8.4611,59566
8.4667,59564
8.4721,59565
8.4777,59565
8.4834,59565
8.4888,59565
8.4944,59564
