Experiment: Mar_4_Turb_expt vial 8, Thu Mar  4 17:36:03 2021
0.0012,1630
0.0063,1637
0.0118,1637
0.0175,1629
0.0229,1626
0.0286,1629
0.034,1634
0.0397,1636
0.0451,1629
0.0508,1626
0.0562,1632
0.0619,1639
0.0673,1633
0.073,1626
0.0786,1627
0.084,1635
0.0897,1638
0.0951,1632
0.1007,1626
0.1063,1628
0.112,1636
0.1174,1635
0.1231,1629
0.1285,1626
0.1341,1633
0.1395,1638
0.1452,1634
0.1506,1626
0.1563,1627
0.162,1632
0.1674,1636
0.1729,1634
0.1786,1629
0.184,1628
0.1897,1634
0.1961,1637
0.2007,1630
0.2064,1625
0.2119,1631
0.2174,1636
0.2228,1636
0.2285,1630
0.234,1626
0.2397,1633
0.2452,1635
0.2507,1631
0.2564,1628
0.2618,1630
0.2675,1637
0.2729,1635
0.2786,1627
0.284,1630
0.2897,1635
0.2951,1635
0.3007,1629
0.3064,1630
0.3131,1634
0.3173,1635
0.3238,1632
0.3301,1630
0.3341,1633
0.3398,1636
0.3451,1632
0.3508,1628
0.3562,1630
0.3619,1635
0.3673,1635
0.373,1628
0.3786,1628
0.384,1633
0.3897,1638
0.3951,1631
0.4008,1626
0.4065,1630
0.4119,1636
0.4173,1635
0.423,1628
0.4284,1626
0.4341,1633
0.4395,1637
0.4452,1631
0.4506,1627
0.4563,1630
0.4619,1636
0.4673,1634
0.473,1628
0.4784,1628
0.4841,1633
0.4896,1637
0.4953,1631
0.5007,1628
0.5063,1629
0.5117,1636
0.5174,1635
0.5231,1629
0.5285,1625
0.5342,1630
0.5396,1636
0.5452,1635
0.5506,1628
0.5563,1624
0.5618,1632
0.5675,1636
0.5729,1633
0.5785,1626
0.5839,1628
0.5896,1634
0.5953,1636
0.6007,1628
0.6064,1628
0.6118,1632
0.6175,1636
0.6229,1634
0.6286,1626
0.6342,1628
0.6396,1633
0.6453,1637
0.6507,1630
0.6564,1630
0.6618,1630
0.6675,1636
0.6729,1635
0.6786,1627
0.684,1627
0.6896,1633
0.6953,1637
0.7007,1630
0.7064,1627
0.7118,1629
0.7175,1635
0.7229,1634
0.7286,1628
0.734,1627
0.7397,1632
0.7451,1636
0.7508,1629
0.7562,1629
0.7619,1629
0.7675,1634
