Experiment: Apr29_NP_tst_expt vial 12, Fri Apr 29 15:50:36 2022
0.0017,2020
0.0067,2020
0.0124,2019
0.018,2018
0.0233,2019
0.0289,2017
0.0346,2020
0.0402,2018
0.0456,2018
2.857,2014
2.8626,2017
2.8679,2015
2.8737,2013
2.879,2014
2.8847,2013
2.8903,2014
2.8957,2016
2.9013,2015
2.9069,2013
2.9126,2014
2.9179,2014
2.9236,2016
2.9293,2015
2.9346,2013
2.9403,2013
2.9459,2015
2.9513,2012
2.9569,2013
2.9625,2014
2.9679,2014
2.9735,2013
2.9792,2014
2.9848,2014
2.9901,2016
2.9958,2013
3.0014,2013
3.0068,2013
3.0125,2013
3.0182,2015
3.0235,2014
3.0292,2015
3.0348,2016
3.0402,2015
3.0458,2015
3.0513,2014
3.057,2015
3.0626,2015
3.0679,2014
3.0736,2015
3.0791,2015
3.0847,2015
3.0904,2015
3.0957,2014
3.1013,2016
3.1069,2015
3.1126,2015
3.1179,2015
3.1235,2015
3.1291,2014
3.1348,2014
3.1404,2015
3.1457,2016
3.1514,2015
3.157,2015
3.1626,2014
3.1679,2015
3.1735,2014
3.1792,2013
3.1848,2014
3.1902,2014
3.1958,2013
3.2014,2012
3.2068,2014
3.2124,2014
3.218,2013
3.2237,2014
3.229,2013
3.2346,2011
3.2403,2012
3.246,2013
3.2513,2011
3.2569,2012
3.2626,2013
3.2679,2012
3.2735,2012
3.2792,2012
3.2848,2012
3.2901,2012
3.2958,2010
3.3014,2012
3.307,2014
3.3124,2012
3.318,2011
3.3236,2013
3.3292,2012
3.3349,2011
3.3402,2011
3.3458,2011
3.3515,2012
3.3571,2012
3.3624,2012
3.3681,2011
3.3737,2014
3.3793,2012
3.3846,2012
3.3903,2011
3.3959,2013
3.4013,2012
3.4069,2011
3.4125,2011
3.4182,2011
3.4235,2012
3.4291,2012
3.4348,2011
3.4404,2013
3.4458,2013
3.4514,2012
3.457,2011
3.4624,2010
3.468,2012
3.4736,2010
3.4792,2011
3.4846,2010
3.4902,2011
3.4958,2012
3.5014,2011
3.5068,2010
3.5124,2010
3.518,2011
3.5237,2010
3.529,2011
3.5346,2009
3.5402,2010
3.5459,2009
3.5515,2009
3.5568,2009
3.5624,2008
3.5681,2010
3.5737,2011
3.579,2009
3.5846,2010
3.5902,2008
3.5959,2009
3.6015,2010
3.6068,2009
3.6125,2008
3.618,2009
3.6237,2008
3.6293,2010
3.6346,2008
3.6403,2011
3.6458,2009
3.6515,2008
3.6571,2010
3.6624,2008
3.668,2007
3.6736,2008
3.6793,2007
3.6846,2008
3.6903,2009
3.6959,2008
3.7012,2008
3.7069,2008
3.7125,2010
3.7181,2009
3.7234,2009
3.7291,2008
3.7347,2008
3.7403,2006
3.746,2007
3.7513,2008
3.7569,2007
3.7625,2007
3.7682,2008
3.7735,2008
3.7791,2007
3.7848,2008
