Experiment: T3_Aug_19_pumped_od_cal_expt vial 14, Thu Aug 19 18:27:12 2021
0.0032,0.9682240203880681
0.0086,0.9566010366746902
0.0143,0.9555480100710487
0.0197,0.959548853880062
0.0254,0.9477106837459239
0.0308,0.9489361433735022
0.0365,0.9477662338129857
0.0419,0.948100912642731
0.0476,0.9638893452542153
0.053,0.9471580122750884
0.0585,0.9217571359343963
0.0642,0.9130614537206891
0.0696,0.9122308815074984
0.0753,0.9280888434429178
0.081,0.9161358621671721
0.0864,0.9178893039809952
0.0921,0.9104992434480599
0.0974,0.9130554579138861
0.1031,0.9151456979329726
0.1085,0.8957201087108566
0.1142,0.8811922541601029
0.1196,0.8780170893476191
0.1252,0.8841912277675161
0.1309,0.886141775947106
0.1363,0.8784749231176943
0.142,0.8802389101511868
0.1474,0.8755922668202025
0.153,0.8863801653022076
0.1587,0.8770911039994812
0.1642,0.8460999202547996
0.1699,0.8388331598737946
0.1753,0.8346636213750855
0.1808,0.8382505840891707
0.1865,0.8361943406850239
0.1919,0.8402351439818513
0.1976,0.8425898553266324
0.203,0.8416938626383998
0.2086,0.8352485410554575
0.2141,0.8456522628776466
0.2198,0.7957399779657301
0.2252,0.7966086159733488
0.2309,0.8056407410648897
0.2363,0.8034394013654242
0.242,0.8044375578436489
0.2474,0.7993548814430155
0.2531,0.8183303415437395
0.2588,0.8007248426182454
0.2642,0.8019062674666915
0.2697,0.75365194040241
0.2754,0.7628035505434654
0.2808,0.7533005800987229
0.2865,0.7517444547715053
0.2919,0.7619098494424916
0.2976,0.7484573739972586
0.303,0.7530083238630148
0.3087,0.7532860965285151
0.3141,0.7624665313686597
0.3198,0.7532152995964589
0.3253,0.7115208421069087
0.3307,0.7092617471825686
0.3364,0.7081645993265786
0.3421,0.713165928942033
0.3474,0.717795473514456
0.3531,0.7051894441222377
0.3586,0.7050107528567758
0.3643,0.7205932104915866
0.3697,0.7100729978488808
0.3754,0.7072373810685366
0.3808,0.6615505031820232
0.3865,0.6585401023261772
0.3919,0.6803513718242717
0.3976,0.6669529849108489
0.403,0.6667034092044426
0.4087,0.6682650298267832
0.4141,0.6638993429934505
0.4198,0.6622932677969016
0.4252,0.6611284876402702
0.4309,0.6601466634616748
0.4363,0.6282484645442259
0.4421,0.615255427273409
0.4475,0.6104079288141677
0.4532,0.6101818813584875
0.4586,0.6404578009403463
0.4643,0.610292328244789
0.4697,0.637910624876332
0.4753,0.6124962074698168
0.4807,0.6137003682647686
0.4864,0.6120514735341069
0.4919,0.5654534909724783
0.4976,0.5597468773398037
0.503,0.5589369021554169
0.5087,0.5724393477387228
0.5141,0.5649330232065617
0.5198,0.5653357463178449
0.5252,0.5631890929547709
0.5309,0.5640050666818284
0.5363,0.5754567671033293
0.542,0.5641214548100051
0.5474,0.5259438029957624
0.5532,0.5225817543984554
0.5586,0.526555036726327
0.5643,0.5326530219306524
0.5697,0.5191514426018102
0.5754,0.5243543394058456
0.5808,0.5129365498255025
0.5865,0.5185707582740567
0.5919,0.5339464615807021
0.5976,0.5172583788795325
0.603,0.4954766059835246
0.6087,0.4813128539285586
0.6141,0.4713886550949337
0.6198,0.4760151995242814
0.6252,0.47678177997775556
0.6309,0.4696519336230668
0.6365,0.4744607694607757
0.6419,0.46892986917542373
0.6476,0.47878864172097674
0.653,0.46896258509735644
0.6587,0.42330600625357523
0.6641,0.4211453189096192
0.6698,0.43016469524202505
0.6752,0.42136060089812316
0.6809,0.4234321826927427
0.6863,0.4252119462075708
0.692,0.4192013196291714
0.6974,0.42068602037902364
0.7031,0.4215319649256779
0.7086,0.38271264882528977
0.7142,0.37920003131513885
0.7197,0.3745523539993157
0.7253,0.3786423236381116
0.7307,0.3718030247880395
0.7364,0.3721074025378133
0.7419,0.3714307363041654
0.7475,0.36966066518189084
0.753,0.3675932127361357
0.7586,0.3746567807118549
0.7641,0.32918460833510094
0.7698,0.3317278009983823
0.7752,0.3371748707000608
0.7809,0.3221561999592593
0.7863,0.3265963347233811
0.792,0.3228874532475858
0.7974,0.31770428059037314
0.803,0.3179863627322517
0.8087,0.31187222957338706
0.8142,0.2753019139622829
0.8199,0.26187724495641523
0.8253,0.27079069986299303
0.831,0.27156734351202155
0.8364,0.26892003970165046
0.8421,0.2764611641838248
0.8475,0.27442576848961625
0.8532,0.27187699724350894
0.8586,0.2741415990620046
0.8643,0.2784195185252482
0.8698,0.22620748556662867
0.8754,0.2238781619770282
0.8808,0.21970965591240177
0.8865,0.22459787530779557
0.8919,0.22364454303860254
0.8976,0.22498426818703327
0.903,0.2256849670418002
0.9087,0.22445000632348744
0.9141,0.2192054819981144
0.9198,0.21911097437373267
0.9253,0.19955332068047754
0.931,0.17933917654220666
0.9364,0.17638816796298346
0.942,0.17858105925551948
0.9474,0.17145637304053107
0.9531,0.18524515728447571
0.9585,0.17620578324830571
0.9642,0.17648126186192514
0.9697,0.17292364419751532
0.9753,0.1792099017163089
0.9808,0.14775377924548116
0.9865,0.13983018299935934
0.9919,0.13523520074956608
0.9976,0.13050750543405187
1.003,0.12755904434291176
1.0087,0.1327303663475855
1.0142,0.1285627405869596
1.0199,0.13468828708872527
1.0253,0.13275686134711917
1.0308,0.1138451290223994
1.0365,0.10709169072818425
1.0419,0.09441411090947638
1.0476,0.08985192628127714
1.053,0.09164401538035061
1.0587,0.09403305680079577
1.0641,0.0964120140368332
1.0698,0.09541340344520044
