Experiment: Mar_9_tst2_expt vial 1, Tue Mar  9 17:23:32 2021
0.0019,0.0
0.007,0.0006198778220846135
0.0127,-0.0006199073211210493
0.0181,-0.0008192528982124969
0.0238,4.691290744651688e-06
0.0292,0.00020682501916224894
0.0349,-0.0006164435445433769
0.0403,-0.0004055086376532069
0.046,0.0004048461701200434
0.0514,-0.00020274443511614226
0.0571,-0.0018479720548114642
0.0628,0.00020214086867720304
0.1128,-0.0006170220690604467
0.1183,0.00020272466769744035
0.1683,-0.00020507989230056367
0.1737,0.001442316161755941
