Experiment: Mar_9_tst2_expt vial 9, Tue Mar  9 17:23:32 2021
0.0019,0.0
0.007,0.00048510444806082464
0.0127,0.0006467840260212521
0.0181,0.00032341391773715866
0.0238,0.0003049582457462785
0.0292,0.00017094007664042454
0.0349,1.8454673295753565e-05
0.0403,0.00048510444806082464
0.046,0.0006283269131879266
0.0514,0.0008084526516183299
0.0571,0.0006283269131879266
0.0628,0.0011317570457225479
0.1128,0.00017094007664042454
0.1183,0.0005035612826201907
0.1683,0.0006652415810018963
0.1737,0.0003326419195379682
