Experiment: Mar_9_tst2_expt vial 14, Tue Mar  9 17:23:32 2021
0.0019,0.0
0.007,-0.001348726094516861
0.0127,-0.0010861615758880339
0.0181,-0.0016233402978215183
0.0238,-0.0013502313869557803
0.0292,-0.0013532405970707595
0.0349,-0.002165098729845494
0.0403,-0.00162635105390041
0.046,-0.0013562479741645594
0.0514,-0.0018964708150920329
0.0571,-0.0024307167627632964
0.0628,-0.0010846598059616186
0.1128,-0.0013547445147451542
0.1183,-0.002165098729845494
0.1683,-0.0024427966688543856
0.1737,-0.0010846598059616186
