Experiment: Mar_9_tst2_expt vial 3, Tue Mar  9 17:23:32 2021
0.0019,0.0
0.007,-0.004816154240315784
0.0127,-0.0056100774065301895
0.0181,-0.007239615435707281
0.0238,-0.007628057552913958
0.0292,-0.000393649427312015
0.0349,-0.01286211152262906
0.0403,-0.011249037832454567
0.046,-0.00842118956492599
0.0514,-0.012044966880428332
0.0571,-0.01003594053448209
0.0628,-0.0028021765323993364
0.1128,-0.02333735353215327
0.1183,-0.01849101045282775
0.1683,-0.02091162261655999
0.1737,-0.01970214625820521
