Experiment: Mar_9_tst2_expt vial 0, Tue Mar  9 17:23:32 2021
0.0019,0.0
0.007,-0.0034995419070780187
0.0127,-0.0004987973334751317
0.0181,-0.00022739069423671765
0.0238,-0.010044572893439074
0.0292,-0.014292630656323801
0.0349,-0.010541934256413477
0.0403,-0.006564980694975908
0.046,-0.0050192878287775855
0.0514,-0.011001333582094652
0.0571,-0.006331989451185294
0.0628,-0.010832657558062841
0.1128,-0.012004478327651391
0.1183,-0.012398504144365496
0.1683,-0.008544087894736485
0.1737,-0.007082103293724273
