Experiment: Mar_9_tst2_expt vial 8, Tue Mar  9 17:23:32 2021
0.0019,0.0
0.007,0.0003233715766488565
0.0127,0.0006815443926875275
0.0181,-0.00037909474665509535
0.0238,0.00033729899655643436
0.0292,-1.3928869683432765e-05
0.0349,0.00034426439133428133
0.0403,0.001018806123725291
0.046,0.0006954771021163708
0.0514,0.0013839136970665855
0.0571,0.0017420436914927784
0.0628,0.00033729899655643436
0.1128,0.00033729899655643436
0.1183,0.0010466731358964587
0.1683,0.0006885101857938558
0.1737,0.00034426439133428133
