Experiment: Mar_9_tst2_expt vial 6, Tue Mar  9 17:23:32 2021
0.0019,0.0
0.007,0.0007626841948125129
0.0127,1.0601308919389041e-05
0.0181,0.0002648385739265624
0.0238,0.0007838746954604847
0.0292,0.00027543853577682853
0.0349,0.0007944711562180018
0.0403,0.0005402609074476317
0.046,0.001006297665695266
0.0514,0.0002860393045827081
0.0571,0.0008050684239313544
0.0628,2.120342479372539e-05
0.1128,-0.0007521786106683415
0.1183,0.0002648385739265624
0.1683,2.120342479372539e-05
0.1737,-0.00025425077312601907
