Experiment: Mar_9_tst2_expt vial 4, Tue Mar  9 17:23:32 2021
0.0019,0.0
0.007,-0.0012308345373703844
0.0127,-0.0003673174747191865
0.0181,-0.001478930866444017
0.0238,-0.0018462387582349749
0.0292,-0.0022135511606311553
0.0349,-0.001478930866444017
0.0403,-0.0008635249548056834
0.046,-0.001598148630540308
0.0514,-0.0027097165940812573
0.0571,-0.005419237142833211
0.0628,-0.0012308345373703844
0.1128,-0.00024811034461791337
0.1183,0.0008635484752890221
0.1683,-0.0007346394600347139
0.1737,-0.0025808680736272294
