Experiment: Mar_9_tst2_expt vial 5, Tue Mar  9 17:23:32 2021
0.0019,0.0
0.007,0.0003152092400292572
0.0127,-0.004628528637456442
0.0181,-0.0033702411436770108
0.0238,-0.004247691420893096
0.0292,-0.005350035830927413
0.0349,-0.0012640238762525735
0.0403,-0.0029410736199709797
0.046,-0.0065230764046586565
0.0514,0.003063228149031594
0.0571,-0.0030485660493078104
0.0628,-0.003116962879250784
0.1128,-0.007685959345819837
0.1183,-0.008321284231637915
0.1683,-0.010218392729166803
0.1737,-0.0066284886130244525
