Experiment: Mar_9_tst2_expt vial 11, Tue Mar  9 17:23:32 2021
0.0019,0.0
0.007,-0.0003940371635504647
0.0127,0.00018269637836532127
0.0181,0.0003653954357432099
0.0238,0.0015187706223214192
0.0292,5.1354984952567406e-05
0.0349,0.0004967325013867097
0.0403,-0.0003940371635504647
0.046,-0.0009707954189028811
0.0514,-0.0011535095542063445
0.0571,0.0015187706223214192
0.0628,-0.0008394439441206103
0.1128,-0.0015475783876945925
0.1183,5.1354984952567406e-05
0.1683,-0.00178165727813262
0.1737,-0.0007880786045877386
