Experiment: Mar_9_tst2_expt vial 15, Tue Mar  9 17:23:32 2021
0.0019,0.0
0.007,0.0008639101375911284
0.0127,0.0005937759824499178
0.0181,0.001200858815153527
0.0238,0.0011874935081486182
0.0292,0.00149769427083557
0.0349,0.0011874935081486182
0.0403,0.0017945151123297531
0.046,0.0009040087452838463
0.0514,0.000890642052393309
0.0571,0.0014843303497165117
0.0628,0.0008772758498292177
0.1128,0.0005937759824499178
0.1183,0.0005937759824499178
0.1683,0.0006071440612263057
0.1737,0.000890642052393309
