Experiment: Mar_9_tst2_expt vial 10, Tue Mar  9 17:23:32 2021
0.0019,0.0
0.007,-0.00022265052572889577
0.0127,-0.0004762216685063603
0.0181,-0.0007401135844287143
0.0238,3.09107796180319e-05
0.0292,-0.00024326273978647617
0.0349,-0.00048653028935785603
0.0403,-0.00024326273978647617
0.046,-0.0004968385122979813
0.0514,-0.0005174537644446753
0.0571,-0.001542190036380231
0.0628,4.121516864719066e-05
0.1128,-0.000771044004116539
0.1183,-0.0007607342621317459
0.1683,2.0606788500576734e-05
0.1737,-0.0007607342621317459
