Experiment: Mar_5_T2_Turb_expt vial 15, Fri Mar  5 18:09:41 2021
2.2213,1634
2.227,1627
2.2324,1625
2.2381,1632
2.2434,1638
2.2491,1634
2.2545,1629
2.2602,1627
2.2656,1631
2.2713,1636
2.277,1636
2.2824,1629
2.2881,1626
2.2935,1630
2.2992,1637
2.3045,1637
2.3102,1631
2.3156,1623
2.3213,1626
2.3267,1635
2.3324,1638
2.3378,1634
2.3435,1627
2.3489,1625
2.3546,1633
2.3603,1636
2.3657,1633
2.3713,1626
2.3767,1627
2.3824,1633
2.3878,1636
2.3935,1632
2.3992,1626
2.4046,1630
2.4103,1636
2.4157,1637
2.4213,1632
2.4267,1628
2.4324,1630
2.4378,1634
2.4435,1635
2.4492,1633
2.4546,1625
2.4603,1627
2.4657,1635
2.4714,1637
2.4768,1630
2.4825,1624
2.4879,1629
2.4936,1636
2.499,1634
2.5046,1633
2.51,1626
2.5157,1627
2.5214,1635
2.5268,1638
2.5325,1633
2.5379,1627
2.5436,1627
2.549,1633
2.5546,1638
2.5601,1632
2.5658,1625
2.5711,1626
2.5768,1634
2.5825,1638
2.5879,1635
2.5936,1627
2.599,1625
2.6047,1632
2.6101,1638
2.6158,1636
2.6212,1630
2.6267,1628
2.6323,1630
2.638,1637
2.6434,1637
2.6491,1629
2.6545,1625
2.6602,1630
2.6656,1637
2.6713,1637
2.677,1630
2.6823,1625
2.688,1626
2.6934,1635
2.6991,1639
2.7046,1632
2.7102,1627
2.7158,1627
2.7212,1635
2.7269,1636
2.7323,1632
2.738,1626
2.7434,1627
2.7491,1634
2.7546,1639
2.7602,1633
2.7657,1626
2.7713,1626
2.7768,1634
2.7824,1637
2.7881,1631
2.7935,1624
2.7992,1628
2.8046,1634
2.8103,1637
2.8157,1633
2.8214,1627
2.8268,1627
2.8325,1634
2.8379,1637
2.8436,1632
2.8492,1627
2.8546,1627
2.8603,1632
2.8657,1636
2.8714,1636
2.8768,1628
2.8825,1624
2.8879,1629
2.8936,1637
2.899,1639
2.9047,1631
2.9101,1627
2.9158,1628
2.9215,1634
2.9269,1636
2.9325,1633
2.9379,1626
2.9436,1629
2.949,1634
2.9547,1637
2.9601,1633
2.9659,1627
2.9712,1627
2.9769,1635
2.9823,1637
2.988,1632
2.9934,1625
2.9991,1626
3.0046,1632
3.0103,1636
3.0157,1632
3.0214,1626
3.0268,1625
3.0325,1634
3.0379,1639
3.0436,1633
3.0491,1626
3.0548,1625
3.0602,1634
3.0659,1637
3.0712,1633
3.077,1626
3.0824,1627
3.0881,1633
3.0935,1636
3.0991,1632
3.1046,1628
3.1102,1626
3.1156,1632
3.1213,1637
3.1267,1636
3.1324,1628
3.1381,1625
3.1435,1626
3.1489,1634
3.1546,1640
3.1601,1633
3.1657,1625
3.1714,1626
3.1768,1632
3.1825,1638
3.1879,1635
3.1936,1628
3.199,1627
3.2047,1631
3.2101,1637
3.2157,1637
3.2214,1629
3.2268,1625
3.2325,1628
3.2379,1636
3.2435,1638
3.2492,1632
3.2546,1627
3.2603,1628
3.2657,1634
3.2714,1638
3.2768,1631
3.2825,1625
3.2879,1627
3.2936,1633
3.299,1638
3.3047,1633
3.3101,1625
3.3158,1626
3.3212,1638
3.3269,1638
3.3323,1636
3.3381,1628
3.3435,1624
3.3491,1630
3.3545,1636
3.3601,1638
3.3658,1630
3.3712,1624
3.3769,1626
3.3824,1634
3.3881,1636
3.3935,1633
3.3992,1626
3.4046,1626
3.4103,1632
3.4157,1638
3.4214,1638
3.4268,1629
3.4323,1624
3.438,1629
3.4435,1636
3.4491,1636
3.4546,1631
3.4602,1626
3.4657,1627
3.4713,1635
3.4768,1637
3.4824,1630
3.4881,1626
3.4935,1628
3.4992,1636
3.5046,1638
3.51,1632
3.5157,1627
3.5212,1626
3.5269,1633
3.5325,1638
3.538,1634
3.5437,1625
3.5491,1629
3.5548,1633
3.5602,1636
3.5659,1634
3.5713,1627
3.577,1628
3.5824,1635
3.5881,1633
3.5935,1629
3.5992,1627
3.6046,1632
3.6101,1638
3.6158,1636
3.6212,1627
3.6269,1627
3.6323,1631
3.638,1637
3.6434,1636
3.6491,1627
3.6548,1625
3.6602,1628
3.6659,1636
3.6713,1639
3.677,1632
3.6824,1625
3.6881,1624
3.6935,1631
3.699,1637
3.7047,1635
3.7101,1628
3.7157,1627
3.7214,1635
3.7268,1637
3.7324,1636
3.7381,1627
3.7436,1630
3.749,1634
3.7547,1638
3.7601,1633
3.7658,1626
3.7713,1627
3.7769,1634
3.7824,1637
3.7881,1631
3.7935,1628
3.7992,1630
3.8047,1636
3.8104,1635
3.8158,1632
3.8214,1626
3.8268,1629
3.8325,1635
3.838,1637
3.8436,1634
3.8491,1626
3.8548,1627
3.8602,1636
3.8659,1639
3.8713,1632
3.8767,1625
3.8824,1628
3.8878,1636
3.8935,1637
3.8992,1630
3.9046,1625
3.9103,1628
3.9157,1636
3.9214,1636
3.9269,1632
3.9325,1624
3.938,1629
3.9436,1636
3.949,1636
3.9547,1632
3.9601,1626
3.9657,1625
3.9714,1633
3.9768,1638
3.9825,1634
3.9879,1626
3.9936,1626
3.999,1632
4.0047,1639
4.0104,1636
4.0158,1630
4.0215,1625
4.0269,1630
4.0326,1638
4.038,1637
4.0437,1632
4.0491,1625
4.0548,1627
4.0602,1634
4.0659,1639
4.0713,1635
4.077,1627
4.0824,1624
4.0881,1631
4.0936,1637
4.0992,1637
4.1046,1627
4.1103,1626
4.1157,1631
4.1212,1636
4.1269,1636
4.1326,1629
4.138,1626
4.1437,1628
4.149,1638
4.1547,1641
4.1601,1631
4.1658,1624
4.1712,1628
4.1768,1634
4.1825,1638
4.1879,1634
4.1936,1628
4.1991,1627
4.2046,1633
4.2103,1637
4.2157,1634
4.2214,1627
4.2268,1626
4.2325,1633
4.2382,1639
4.2436,1634
4.2493,1627
4.2547,1625
4.2603,1629
4.266,1635
4.2714,1637
4.2768,1632
4.2825,1625
4.2881,1628
4.2935,1634
4.2992,1636
4.3046,1634
4.3103,1625
4.3157,1627
4.3214,1632
4.3268,1639
4.3325,1635
4.3379,1628
4.3436,1626
4.349,1629
4.3547,1637
4.3601,1637
4.3658,1632
4.3712,1625
4.3768,1628
4.3826,1638
4.388,1639
4.3937,1634
4.3991,1627
4.4048,1626
4.4102,1634
4.4159,1638
4.4213,1634
4.4268,1628
4.4325,1623
4.4379,1628
4.4436,1636
4.4493,1639
4.4547,1631
4.4604,1626
4.4658,1628
4.4715,1636
4.4769,1636
4.4826,1633
4.488,1630
4.4937,1626
4.4991,1633
4.5048,1637
4.5102,1631
4.5158,1627
4.5213,1628
4.527,1636
4.5324,1634
4.538,1629
4.5437,1625
4.5491,1629
4.5548,1638
4.5602,1638
4.5659,1632
4.5713,1625
4.577,1629
4.5824,1634
4.5881,1636
4.5935,1634
4.5992,1630
4.6046,1627
4.6103,1633
4.6159,1640
4.6214,1637
63.8061,1634
63.8118,1627
63.8173,1627
63.8228,1630
63.8285,1639
63.8339,1636
63.8396,1630
63.845,1627
63.8505,1631
63.8562,1636
63.8616,1634
63.8673,1628
63.8728,1626
63.8785,1630
63.8839,1634
63.8895,1635
63.8949,1627
63.9006,1626
63.906,1631
63.9118,1638
63.9172,1636
63.9229,1629
63.9283,1627
63.934,1630
63.9397,1636
63.9451,1636
63.9508,1628
63.9562,1625
63.9617,1628
63.9674,1639
63.9728,1635
63.9785,1629
63.9839,1624
63.9896,1631
64.1117,1636
64.1174,1630
64.1228,1628
64.1285,1630
64.1339,1635
64.5176,1624
64.5228,1626
64.5285,1633
64.5339,1637
64.5396,1633
64.5451,1628
64.5508,1627
64.5562,1631
64.5619,1638
64.5673,1634
64.573,1628
64.5784,1626
64.5841,1631
64.5895,1637
64.5952,1636
64.6006,1631
64.6063,1625
64.6117,1627
64.6174,1636
64.6229,1638
64.6283,1633
64.634,1624
64.6394,1626
64.6451,1635
64.6505,1637
64.6562,1632
64.6616,1626
64.6673,1628
64.6727,1635
64.6784,1636
64.6841,1631
64.6895,1626
64.6952,1629
64.7006,1635
64.7063,1636
64.7117,1631
64.7174,1627
64.7228,1627
64.7285,1633
64.7339,1639
