Experiment: Mar_9_turb2_expt vial 0, Tue Mar  9 17:40:35 2021
0.0017,1630
0.0069,1630
0.0125,1639
0.0179,1632
0.0236,1630
0.029,1637
0.0347,1633
0.0401,1631
0.0458,1636
0.0515,1640
0.0569,1629
0.0625,1633
0.0679,1636
0.0736,1631
0.079,1633
0.0847,1638
0.0901,1634
0.0958,1632
0.1012,1639
0.1069,1630
0.1125,1632
0.1179,1638
0.1236,1633
0.129,1632
0.1347,1637
0.1401,1633
0.1458,1628
0.1512,1636
0.1569,1636
0.1623,1630
0.1679,1634
0.1736,1637
0.179,1631
0.1847,1636
0.1901,1633
0.1958,1631
0.2012,1639
0.2069,1636
0.2123,1629
0.218,1639
