Experiment: April_28_Phage_Osmo_expt vial 1, Wed Apr 28 17:10:52 2021
0.0025,0.0
0.0079,-0.00020260723708998007
0.0135,-0.0024595361707990815
0.0192,-0.0028689696767446593
0.0245,0.0008230673939092492
0.0301,-0.0020560919346487294
0.0358,0.002677816435916136
0.0411,0.0006197866483017567
0.0468,0.0043112836401690835
0.0524,0.0034939198313118647
0.0578,0.0014496173601187268
0.0634,0.001241782311686923
0.069,-0.002670505548327151
0.0747,0.0006251127528914546
0.08,-0.004925980257087792
0.0857,-0.0020472084502265453
0.0913,-0.004722887078575044
0.0967,-0.006573026328197451
0.1023,-0.00533150107328062
0.1079,-0.00698317152223582
0.1136,-0.004714900017699253
0.119,-0.005129817153580962
0.1246,-0.0016326916535198688
0.1302,-0.0047199895719602925
0.1356,-0.003892513754536142
0.1413,-0.004923806660689145
0.1469,-0.0045140140016692865
0.1522,-0.005949696743045685
0.1579,-0.006157946479416587
0.1635,-0.006359748750887739
0.1689,-0.008007801533980952
0.1746,-0.0032762668515888826
0.1802,-0.005335842761306608
0.1858,-0.005541162661926613
0.1912,-0.004923806660689145
0.1968,-0.005131263580595236
0.2024,0.000629697148767816
0.2079,-0.002250767586991387
0.2135,-0.00389764023032102
0.2189,-0.0047199895719602925
0.2246,-0.005748658087521563
0.2302,-0.00018973701842428525
0.2356,-0.0020419937416421563
0.2412,-0.004925980257087792
0.2469,-0.003071870105422758
0.2525,-0.0028630502403456104
0.2578,-0.002448386612984521
0.2635,-0.0036895294422146785
0.2691,-0.0036806899959698214
0.2745,-0.004916529400406322
0.2801,-0.005123283909275855
0.2857,-0.002654225113726927
0.2911,-0.006565879126409602
0.2968,-0.0030652049178405694
0.3024,-0.005536103150031169
0.3081,-0.00821476135638921
0.3134,-0.008416092164011402
0.3191,-0.0047083209265477155
0.3247,-0.004508913497237255
0.3301,-0.005121826672154994
0.3357,-0.0026534794432342412
0.3414,-0.0024461434344718036
0.3467,-0.004096985800812969
0.3524,-0.0026579460956597245
0.358,-0.002453603498282164
0.3634,-0.0024550896146220413
0.369,-0.0026631348328903792
0.3747,-0.0014299400270370022
0.3801,-0.002250767586991387
0.3858,-0.002251510489682862
0.3914,-0.0014329278221282271
0.3968,-0.0012257121245443647
0.4024,-0.0012257121245443647
0.4078,-0.0028674927658560723
0.4134,-0.0036924602005049545
0.4191,-0.0016326916535198688
0.4247,-0.002663874115592768
0.4301,-0.0024580559508818878
0.4357,-0.0036895294422146785
0.4413,-0.0038895735296953227
0.4467,-0.003069652798544542
0.4524,-0.003279214055307511
0.458,-0.003071131494498336
0.4634,-0.0026594310488535777
0.469,-0.0026660890154869277
0.4747,-0.0016349344403828736
0.4801,-0.0016334397405088907
0.4857,-0.002454346802136631
0.4913,-0.00020034634076893099
0.497,-0.003279949627815526
0.5023,-0.00307260822497768
0.508,-0.0030689127135156147
0.5133,-0.0008188129090831442
0.519,-0.00040598729213314755
0.5246,-0.0016394067471584561
0.5303,-0.0004067398512987985
0.5356,-0.0008165646174477237
0.5413,-0.0034931444372010567
0.5469,-0.0020464649659633904
0.5523,-0.0030755557895160157
0.5579,-0.002456573765488468
0.5635,-0.002665351206889932
0.5692,-0.0028711813578141676
0.5746,-0.002873388616567829
0.5802,-0.0032821533971305605
0.5856,-0.0028719176021007042
0.5912,-0.0034887624995920685
0.5969,-0.003279214055307511
0.6025,-0.003076291452228652
0.6081,-0.004381158978562172
0.6135,-0.004993876736850478
0.6191,-0.004178764934076318
0.6245,-0.003358543829766747
0.6302,-0.004586280678707144
0.6358,-0.0037659003906438393
0.6412,-0.0029458041359572418
0.6469,-0.003966882800468419
0.6525,-0.0037659003906438393
0.6579,-0.00335718127718454
0.6635,-0.0027401382375947803
0.6692,-0.003564930918940723
0.6746,-0.005611484266994982
0.6802,-0.0068424610144517395
0.6859,-0.006437165916871379
0.6912,-0.006431840528590249
0.6969,-0.0070458024137993736
0.7023,-0.00889662856890483
0.708,-0.00767050245636991
0.7134,-0.007046468062404276
0.7191,-0.008284130956241031
0.7247,-0.005406272733479378
0.7301,-0.004790068668587999
0.7357,-0.0066378082158607965
0.7414,-0.007458524883883655
0.7467,-0.007666555885690762
0.7524,-0.007253815610213432
0.758,-0.006022629638124055
0.7636,-0.007257123747477223
