Experiment: April_27_Phage_Osmo_expt vial 12, Tue Apr 27 19:11:23 2021
0.0049,27879
0.0106,27906
0.016,27833
0.0216,27898
0.0273,27901
0.0327,27759
0.0383,27887
0.0439,27907
0.0493,27876
0.0548,27948
0.0605,27956
0.066,27915
0.0716,27935
0.077,27930
0.0826,27789
0.0883,27968
0.0939,27979
0.0992,27895
0.1049,27964
0.1105,27906
0.1159,27958
0.1215,27928
0.1272,27969
0.1327,27963
0.1383,27899
0.1437,27960
0.1493,27940
0.155,27913
0.1603,27960
0.166,27985
0.1716,27942
0.1772,27938
0.1827,27910
0.1883,27953
0.1937,27922
0.1994,27973
0.205,27934
0.2104,27923
0.216,27928
0.2216,27942
0.2273,27967
0.2326,27979
0.2382,27949
0.2439,27915
0.2492,27961
0.2549,27881
0.2605,27933
0.2661,27811
0.2714,27972
0.2771,27939
0.2827,27971
0.2883,27935
0.2937,27969
0.2993,27960
0.305,27968
0.3103,27957
0.316,27947
0.3216,27988
0.3272,27971
0.3326,27975
0.3383,27982
0.3439,27972
0.3492,27979
0.3549,27986
0.3605,27993
0.3659,27978
0.3715,27974
0.3772,27982
0.3828,27976
0.3881,27973
0.3938,27955
0.3994,27975
0.405,27990
0.4104,27990
0.416,27988
0.4217,27979
0.427,27988
0.4327,27984
0.4383,27954
0.4437,27980
0.4493,27978
0.4549,27989
0.4606,27866
0.4659,27951
0.4716,27844
0.4772,27980
0.4828,27998
0.4881,27995
0.4938,27979
0.4994,27991
0.5048,27983
0.5105,27992
0.5161,27976
0.5214,27985
0.5271,27967
0.5327,27968
0.5383,27895
0.544,27942
0.5493,27968
0.5549,27969
0.5606,27925
0.566,27985
0.5716,27974
0.5772,27986
0.5826,27995
0.5882,27926
0.5938,27946
0.5995,27996
0.6048,27971
0.6105,27994
0.6161,27929
0.6215,27984
0.6271,27892
0.6327,27969
0.6384,27959
0.6437,27977
0.6494,27946
0.6548,27972
0.6604,27974
0.6661,27940
0.6717,27963
0.6771,27968
0.6827,27916
0.6883,27986
0.6937,27982
0.6994,27981
0.705,27962
0.7106,27972
0.716,27977
0.7216,27976
0.7272,27973
0.7326,27901
0.7382,27908
0.7438,27956
0.7495,27967
0.7548,27889
0.7605,27950
0.7661,27913
0.7715,27969
0.7771,27975
0.7828,27970
0.7881,27969
0.7938,27948
0.7994,27975
0.8048,27972
0.8104,27985
0.8159,27995
0.8216,27992
0.8272,27976
0.8329,27992
0.8382,27988
0.8437,27996
0.8494,27991
0.855,27991
0.8604,27980
0.866,27979
0.8715,27998
0.8772,27993
0.8825,27991
0.8882,27989
0.8938,27977
0.8994,27983
0.905,27976
0.9103,27984
0.916,28003
0.9216,27983
0.9272,27980
0.9328,27984
0.9382,27989
0.9438,27979
0.9495,27973
0.9548,27982
0.9604,27967
0.9661,27979
0.9717,27989
0.9771,27979
0.9827,27982
0.9883,27995
0.9937,27988
0.9993,27983
1.005,27927
1.0104,27994
1.016,27993
