Experiment: Feb_23_chemo_expt vial 11, Tue Feb 23 14:42:27 2021
0.0045,56275
0.0102,56279
0.0159,56289
0.0215,56279
0.0269,56283
0.0325,56267
0.0382,56272
0.0435,56279
0.0492,56225
0.0548,56280
0.0604,56225
0.0658,56266
0.0714,56274
0.0771,56207
0.0825,56273
0.0881,56224
0.0937,56267
0.0991,56278
0.1047,56241
0.1104,56247
0.1157,56258
0.1214,56268
0.127,56277
0.1327,56292
0.138,56278
0.1437,56277
0.1493,56220
0.1547,56246
0.1603,56283
0.166,56264
0.1713,56280
0.177,56287
0.1824,56265
0.188,56261
0.1936,56289
0.1993,56244
