Experiment: Feb_23_chemo_expt vial 0, Tue Feb 23 14:42:27 2021
0.0045,56411
0.0102,56414
0.0159,56377
0.0215,56379
0.0269,56381
0.0325,56377
0.0382,56407
0.0435,56407
0.0492,56410
0.0548,56406
0.0604,56400
0.0658,56411
0.0714,56406
0.0771,56413
0.0825,56375
0.0881,56376
0.0937,56370
0.0991,56377
0.1047,56373
0.1104,56373
0.1157,56374
0.1214,56376
0.127,56387
0.1327,56374
0.138,56376
0.1437,56377
0.1493,56377
0.1547,56380
0.1603,56406
0.166,56393
0.1713,56395
0.177,56396
0.1824,56396
0.188,56422
0.1936,56491
0.1993,56493
