Experiment: Feb_23_chemo_expt vial 14, Tue Feb 23 14:42:27 2021
0.0045,56039
0.0102,56044
0.0159,56044
0.0215,56038
0.0269,56042
0.0325,56033
0.0382,56034
0.0435,56038
0.0492,56034
0.0548,56014
0.0604,56018
0.0658,56016
0.0714,56007
0.0771,56009
0.0825,56008
0.0881,56008
0.0937,56008
0.0991,55999
0.1047,55996
0.1104,55993
0.1157,55992
0.1214,55987
0.127,55988
0.1327,55983
0.138,55988
0.1437,55988
0.1493,55985
0.1547,54440
0.1603,54405
0.166,54421
0.1713,54406
0.177,54405
0.1824,54403
0.188,54400
0.1936,54397
0.1993,54418
