Experiment: Feb_23_chemo_expt vial 8, Tue Feb 23 14:42:27 2021
0.0045,56503
0.0102,56467
0.0159,56484
0.0215,56498
0.0269,56425
0.0325,56490
0.0382,56491
0.0435,56513
0.0492,56514
0.0548,56507
0.0604,56444
0.0658,56452
0.0714,56491
0.0771,56368
0.0825,56479
0.0881,56398
0.0937,56480
0.0991,56486
0.1047,56485
0.1104,56483
0.1157,56482
0.1214,56482
0.127,56482
0.1327,56487
0.138,56484
0.1437,56479
0.1493,56483
0.1547,56466
0.1603,56448
0.166,56443
0.1713,56498
0.177,56501
0.1824,56390
0.188,56424
0.1936,56539
0.1993,56499
