Experiment: Feb_23_chemo_expt vial 4, Tue Feb 23 14:42:27 2021
0.0045,56341
0.0102,56322
0.0159,56331
0.0215,56331
0.0269,56332
0.0325,56327
0.0382,56340
0.0435,56351
0.0492,56359
0.0548,56362
0.0604,56358
0.0658,56370
0.0714,56367
0.0771,56369
0.0825,56346
0.0881,56345
0.0937,56336
0.0991,56340
0.1047,56339
0.1104,56345
0.1157,56345
0.1214,56344
0.127,56346
0.1327,56349
0.138,56344
0.1437,56352
0.1493,56344
0.1547,56347
0.1603,56366
0.166,56360
0.1713,56362
0.177,56365
0.1824,56361
0.188,56364
0.1936,56431
0.1993,56437
