Experiment: Feb_23_chemo_expt vial 2, Tue Feb 23 14:42:27 2021
0.0045,53665
0.0102,54067
0.0159,53968
0.0215,53913
0.0269,54015
0.0325,53986
0.0382,53797
0.0435,54059
0.0492,53815
0.0548,54050
0.0604,54065
0.0658,54016
0.0714,53988
0.0771,54018
0.0825,53997
0.0881,53975
0.0937,54017
0.0991,53988
0.1047,53940
0.1104,53996
0.1157,54018
0.1214,54095
0.127,54013
0.1327,53915
0.138,54114
0.1437,54091
0.1493,54052
0.1547,54046
0.1603,54072
0.166,54050
0.1713,53791
0.177,53959
0.1824,53987
0.188,54012
0.1936,53874
0.1993,54079
