Experiment: Feb_23_chemo_expt vial 10, Tue Feb 23 14:42:27 2021
0.0045,56728
0.0102,56707
0.0159,56732
0.0215,56761
0.0269,56748
0.0325,56724
0.0382,56744
0.0435,56711
0.0492,56721
0.0548,56711
0.0604,56716
0.0658,56690
0.0714,56729
0.0771,56699
0.0825,56739
0.0881,56696
0.0937,56687
0.0991,56733
0.1047,56715
0.1104,56742
0.1157,56712
0.1214,56741
0.127,56715
0.1327,56698
0.138,56703
0.1437,55108
0.1493,55119
0.1547,55119
0.1603,55135
0.166,55126
0.1713,55098
0.177,55113
0.1824,55129
0.188,55055
0.1936,55129
0.1993,55090
