Experiment: Feb_23_chemo_expt vial 9, Tue Feb 23 14:42:27 2021
0.0045,52550
0.0102,52555
0.0159,52549
0.0215,52546
0.0269,52539
0.0325,52548
0.0382,52540
0.0435,52531
0.0492,52523
0.0548,52509
0.0604,52508
0.0658,52524
0.0714,52519
0.0771,52524
0.0825,52513
0.0881,52518
0.0937,52512
0.0991,52528
0.1047,52523
0.1104,52536
0.1157,52535
0.1214,52528
0.127,52541
0.1327,52536
0.138,52550
0.1437,52550
0.1493,52562
0.1547,52558
0.1603,52532
0.166,52543
0.1713,52541
0.177,52528
0.1824,52522
0.188,52521
0.1936,52528
0.1993,52523
