Experiment: Feb_23_chemo_expt vial 6, Tue Feb 23 14:42:27 2021
0.0045,55732
0.0102,55732
0.0159,55732
0.0215,55732
0.0269,55742
0.0325,55726
0.0382,55727
0.0435,55740
0.0492,55747
0.0548,55736
0.0604,55743
0.0658,55745
0.0714,55740
0.0771,55736
0.0825,55733
0.0881,55733
0.0937,55735
0.0991,55734
0.1047,55729
0.1104,55738
0.1157,55732
0.1214,55732
0.127,55741
0.1327,55733
0.138,55740
0.1437,55734
0.1493,55735
0.1547,55736
0.1603,55729
0.166,55730
0.1713,55748
0.177,55743
0.1824,55744
0.188,55741
0.1936,55753
0.1993,55742
