Experiment: Feb_23_chemo_expt vial 3, Tue Feb 23 14:42:27 2021
0.0045,55864
0.0102,55868
0.0159,55866
0.0215,55870
0.0269,55869
0.0325,55863
0.0382,55856
0.0435,55860
0.0492,55864
0.0548,55862
0.0604,55865
0.0658,55864
0.0714,55860
0.0771,55860
0.0825,55860
0.0881,55861
0.0937,55876
0.0991,55880
0.1047,55883
0.1104,55889
0.1157,54475
0.1214,54449
0.127,54473
0.1327,54460
0.138,54455
0.1437,54465
0.1493,54477
0.1547,54474
0.1603,54470
0.166,54459
0.1713,54441
0.177,54456
0.1824,54459
0.188,54455
0.1936,54470
0.1993,54459
