Experiment: Feb_23_chemo_expt vial 13, Tue Feb 23 14:42:27 2021
0.0045,52059
0.0102,52049
0.0159,52045
0.0215,52052
0.0269,52065
0.0325,52043
0.0382,52046
0.0435,52058
0.0492,52072
0.0548,51999
0.0604,52022
0.0658,52015
0.0714,52032
0.0771,52046
0.0825,52031
0.0881,52030
0.0937,52027
0.0991,51993
0.1047,52003
0.1104,51988
0.1157,51994
0.1214,52018
0.127,51995
0.1327,51963
0.138,51994
0.1437,52013
0.1493,52009
0.1547,52030
0.1603,51992
0.166,51986
0.1713,51964
0.177,51957
0.1824,51978
0.188,51967
0.1936,51982
0.1993,51990
