Experiment: Feb_23_chemo_expt vial 12, Tue Feb 23 14:42:27 2021
0.0045,56524
0.0102,56523
0.0159,56514
0.0215,56521
0.0269,56521
0.0325,56518
0.0382,56534
0.0435,56540
0.0492,56542
0.0548,56540
0.0604,56542
0.0658,56547
0.0714,56540
0.0771,56537
0.0825,56532
0.0881,56532
0.0937,56530
0.0991,56531
0.1047,56533
0.1104,56535
0.1157,56536
0.1214,56536
0.127,56542
0.1327,56538
0.138,56536
0.1437,56537
0.1493,56538
0.1547,56537
0.1603,56529
0.166,56542
0.1713,56543
0.177,56544
0.1824,56541
0.188,56540
0.1936,56569
0.1993,56569
