Experiment: Feb_23_chemo_expt vial 1, Tue Feb 23 14:42:27 2021
0.0045,52722
0.0102,52730
0.0159,52715
0.0215,52715
0.0269,52723
0.0325,52710
0.0382,52715
0.0435,52710
0.0492,52714
0.0548,52697
0.0604,52694
0.0658,52711
0.0714,52699
0.0771,52687
0.0825,52705
0.0881,52697
0.0937,52700
0.0991,52702
0.1047,52701
0.1104,52712
0.1157,52707
0.1214,52711
0.127,52736
0.1327,52714
0.138,52732
0.1437,52723
0.1493,52727
0.1547,52731
0.1603,52714
0.166,52719
0.1713,52713
0.177,52706
0.1824,52706
0.188,52718
0.1936,52747
0.1993,52730
