Experiment: Feb_23_chemo_expt vial 15, Tue Feb 23 14:42:27 2021
0.0045,54468
0.0102,54477
0.0159,54477
0.0215,54466
0.0269,54466
0.0325,54461
0.0382,54460
0.0435,54459
0.0492,54453
0.0548,54444
0.0604,54459
0.0658,54461
0.0714,54438
0.0771,54434
0.0825,54444
0.0881,54448
0.0937,54441
0.0991,54436
0.1047,54423
0.1104,54440
0.1157,54431
0.1214,54424
0.127,54434
0.1327,54429
0.138,54426
0.1437,54417
0.1493,54429
0.1547,54432
0.1603,54421
0.166,54418
0.1713,54426
0.177,54422
0.1824,54415
0.188,54414
0.1936,54415
0.1993,54415
