Experiment: Feb_23_chemo_expt vial 5, Tue Feb 23 14:42:27 2021
0.0045,55142
0.0102,55140
0.0159,55141
0.0215,55141
0.0269,55141
0.0325,55137
0.0382,55141
0.0435,55146
0.0492,55141
0.0548,55135
0.0604,55139
0.0658,55147
0.0714,55140
0.0771,55145
0.0825,55140
0.0881,55144
0.0937,55147
0.0991,55148
0.1047,55148
0.1104,55150
0.1157,55153
0.1214,55149
0.127,55158
0.1327,53792
0.138,53803
0.1437,53752
0.1493,53762
0.1547,53767
0.1603,53712
0.166,53756
0.1713,53747
0.177,53705
0.1824,53723
0.188,53746
0.1936,53760
0.1993,53762
