Experiment: Apr24_2022_tst_expt vial 15, Sun Apr 24 16:07:04 2022
0.0019,0.0
0.0065,0.001562794630328268
0.0119,0.001170776910013549
0.0175,0.003905330619245917
0.0232,0.007027211596453586
0.0288,0.009362575954465768
0.0342,0.007417092894087429
0.0398,0.011704722828872915
0.0455,0.009366941954455643
0.0508,0.011705366490896374
0.0565,0.012484315697454007
0.0621,0.011316631890657125
0.0675,0.012485187872115944
0.0731,0.012873191120240657
0.0787,0.014430767278632795
0.0844,0.015211654500436045
0.0897,0.013655179434055809
0.0954,0.013652490510342119
0.101,0.014042197958701208
0.1063,0.016379117469512816
0.112,0.015213668681923309
0.1176,0.01637932151800392
0.1232,0.017541692249647967
0.1286,0.015600229548332178
0.1342,0.017935929197216538
0.1399,0.016770884365629013
0.1455,0.014433885924148182
0.1509,0.014824750828431155
0.1565,0.017938303245737308
0.1621,0.019878934169534346
0.1675,0.018326454787965574
0.1731,0.017547976569114443
0.1786,0.01988139866942651
0.1843,0.017938303245737308
0.1896,0.017158361411744982
0.1953,0.01793926312430094
0.2009,0.01716217138134768
0.2066,0.01676831757791042
0.2119,0.018713757881052895
0.2176,0.020271707307411457
0.2232,0.01949707678977597
0.2286,0.02027142234121726
0.2342,0.0175463785589558
0.2398,0.01794022886524449
0.2454,0.017161039810097867
0.2508,0.015991261198642803
0.2564,0.01677066845146269
0.2621,0.02065971930030941
0.2677,0.014827467845814457
0.2731,0.01794022886524449
0.2787,0.019106920190303134
0.2843,0.022608831913264016
0.2897,0.01716171765365193
0.2953,0.016381590233731314
0.3008,0.017158361411744982
0.3065,0.018719624965478632
0.3121,0.019106920190303134
0.3175,0.014436095945133065
0.3231,0.015604247039389674
0.3287,0.015604052066304663
0.3344,0.01677066845146269
0.3398,0.015212017417665313
0.3452,0.014046178837054168
0.3508,0.00038629253954747256
0.3565,-0.0043050649171070265
0.3621,-0.009004740738054795
0.3675,-0.010965868017260627
0.373,-0.010970533472058008
0.3787,-0.015287066801183302
0.3843,-0.01724574963019554
0.3899,-0.016850388976673125
0.3953,-0.01882013519135417
0.4009,-0.01764029850386406
0.4066,-0.018818670279918792
0.4119,-0.019607458759009377
0.4176,-0.01999789037534816
0.423,-0.02117856279135566
0.4287,-0.022358037020799415
0.4343,-0.022751835353324368
0.4397,-0.025119385601693356
0.4453,-0.023934721100763
0.4509,-0.023930602786481403
0.4566,-0.026297123829287616
0.4619,-0.02669973314657159
0.4676,-0.02472101391553927
0.4732,-0.029056340578432316
0.4788,-0.029845003595341257
0.4842,-0.028271879764730445
0.4898,-0.02590411753734767
0.4955,-0.0286562914927887
0.5008,-0.025105921168603662
0.5065,-0.025118168890289616
0.5121,-0.02865424333125688
0.5177,-0.02944821703373368
0.5231,-0.029054966428400997
0.5287,-0.029457229433422216
0.5344,-0.030236205541404826
0.5397,-0.030629536486943
0.5454,-0.028659017245249552
0.551,-0.02906387220611717
0.5564,-0.029446825014726508
0.562,-0.02984148895134442
0.5677,-0.030629536486943
0.573,-0.029061822522621905
0.5787,-0.03024046682836201
0.5843,-0.03142067123221759
0.5899,-0.03182151622537288
0.5953,-0.03182151622537288
0.6009,-0.0302383378336768
0.6066,-0.03378087235760219
0.6119,-0.034976110466822585
0.6176,-0.029849209076981298
0.6232,-0.030624490902531165
0.6288,-0.03220758072949281
0.6342,-0.031422137940154804
0.6398,-0.033781655471315064
0.6455,-0.03378008887749784
0.6508,-0.035356886763583506
0.6565,-0.03497049234242455
0.6621,-0.036553007161559514
0.6675,-0.03615088137895672
0.6732,-0.03418390772453794
0.6789,-0.03892099712521879
0.6843,-0.04010138720002887
0.6897,-0.03732285618415754
0.6953,-0.038521730632699036
0.7009,-0.03733226628075248
0.7064,-0.04209281496799433
0.712,-0.04366365249923343
0.7177,-0.04207585281098891
0.723,-0.04955335650213244
0.7287,-0.04841614320789778
0.7342,-0.07058839991752541
0.7398,-0.0610377762719575
0.7452,-0.061016364726717676
0.7508,-0.06616305310801363
0.7564,-0.0677423540157931
0.762,-0.07214051173040403
0.7675,-0.07612514962921701
0.7731,-0.07770420706443115
0.7787,-0.08608017093892706
0.7844,-0.08689657630753023
0.7897,-0.08527329367892722
0.7954,-0.08883765199197813
0.801,-0.09204292469070063
0.8064,-0.0996254042125152
0.8121,-0.09799432944971997
0.8176,-0.10163470450841061
