Experiment: Feb_23_chemo_expt vial 10, Tue Feb 23 14:42:22 2021
0.0045,0.0
0.0102,-0.006220081834913405
0.0159,-0.001844334193358499
0.0215,-0.01112106235588306
0.0269,-0.008419333673590712
0.0325,-0.006084046830604484
0.0382,-0.0037214296399544766
0.0435,-0.0044048411424828515
0.0492,-0.0036308272799487895
0.0548,0.00047261332733095074
0.0604,-0.0013751109586325194
0.0658,-0.0033050854708940314
0.0714,0.0010115232262107865
0.0771,0.004577450216887269
0.0825,-0.002888289941375799
0.0881,-0.0023124945380662565
0.0937,-0.003496507780353153
0.0991,-0.0012385533653788139
0.1047,-0.000964828726821465
0.1104,0.0038025822884439897
0.1157,0.00635153826719459
0.1214,-0.003913028245045025
0.127,0.001675122106318594
0.1327,0.0027559872979746602
0.138,0.00030085151514214203
0.1437,-0.0007599793235016916
0.1493,-0.0038209430380086173
0.1547,-0.00020917408697795903
0.1603,-0.0038952658089478343
0.166,-0.004455916713821617
0.1713,0.000288750293246709
0.177,-0.002588685270443536
0.1824,-0.0018601139354417207
0.188,0.0018899982118920633
0.1936,-0.0036666141183836487
0.1993,0.0005261464569099594
