Experiment: Feb_23_chemo_expt vial 9, Tue Feb 23 14:42:22 2021
0.0045,0.0
0.0102,-0.00023223045480000315
0.0159,-0.00047997730834001273
0.0215,5.4187014098816544e-05
0.0269,0.0011357490101103762
0.0325,0.0006849703734578827
0.0382,0.0030944858769226813
0.0435,0.0035449146561482014
0.0492,0.005459481367587171
0.0548,0.007125823981407264
0.0604,0.010090282535408918
0.0658,0.00643060397958467
0.0714,0.006334204785145459
0.0771,0.004789283420408463
0.0825,0.005923126585794386
0.0881,0.006019547756795779
0.0937,0.006921168920048598
0.0991,0.004899308364210486
0.1047,0.004967004137741815
0.1104,0.0036414712262879956
0.1157,0.003326476903914327
0.1214,0.003749798887817457
0.127,0.0009442296398746164
0.1327,0.002820050049542888
0.138,0.0014799835024529306
0.1437,0.0009867542395707307
0.1493,0.000166420103601711
0.1547,0.001536031446437519
0.1603,0.0033671014408357125
0.166,0.002725256541516813
0.1713,0.004066496711127576
0.177,0.003914047384392716
0.1824,0.0064576763578904905
0.188,0.0051582525294689985
0.1936,0.004570931847057258
0.1993,0.004802823156399516
