Experiment: Feb_23_chemo_expt vial 8, Tue Feb 23 14:42:22 2021
0.0045,0.0
0.0102,1.2368580302180021e-05
0.0159,0.0002147991670709004
0.0215,-5.9663594464742786e-05
0.0269,-0.0013688128808730937
0.0325,0.0007276457472402686
0.0382,-0.00014314545163185421
0.0435,-0.0005429031791508443
0.0492,0.0012348905007018018
0.0548,0.0018131165626933399
0.0604,0.0019442565369769405
0.0658,-0.00016597707140597606
0.0714,0.001401437290458718
0.0771,-0.001380543269058787
0.0825,0.004124431207718882
0.0881,-0.00014438934419258587
0.0937,0.003695611876131988
0.0991,0.0039876514932755125
0.1047,0.009480171516000668
0.1104,0.0021882147664706864
0.1157,0.0034990807785786338
0.1214,0.004600951536095632
0.127,0.0015146627639004429
0.1327,0.004440344237935712
0.138,0.0044045007686830395
0.1437,0.0012583257722313945
0.1493,0.001747146557331103
0.1547,0.00595171690726648
0.1603,0.003754861893504602
0.166,0.0030343605642633165
0.1713,0.00743530282208682
0.177,0.006810694027203024
0.1824,0.003066308649468663
0.188,0.00545130768967983
0.1936,-1.119870240628984e-05
0.1993,0.0023792353317244608
