Experiment: Feb_24_Turb_expt vial 2, Wed Feb 24 18:13:41 2021
0.0013,1735
0.0067,1727
0.0121,1721
0.0177,1717
0.0233,1709
0.0287,1705
0.0343,1698
0.04,1692
0.0456,1688
0.051,1685
0.0566,1680
0.0622,1678
0.0676,1668
0.0732,1663
0.0789,1658
0.0845,1652
0.0899,1646
0.0955,1641
0.1011,1640
0.1065,1633
0.1121,1629
0.1177,1624
0.1234,1622
0.1288,1618
0.1344,1611
0.14,1609
0.1454,1608
0.151,1612
0.1567,1607
0.162,1606
0.1677,1612
0.1733,1609
0.1789,1606
0.1843,1608
0.1899,1611
0.1955,1608
0.2012,1610
0.2065,1612
0.2122,1606
0.2178,1608
0.2232,1610
0.2288,1607
0.2344,1605
0.2401,1612
0.2454,1608
0.2511,1606
0.2567,1613
0.2621,1612
0.2677,1605
0.2733,1608
0.2787,1611
0.2844,1608
0.29,1605
0.2956,1609
0.301,1607
0.3066,1606
0.3123,1610
0.3176,1609
0.3233,1604
0.3289,1609
0.3343,1610
0.3399,1605
0.3456,1606
0.3509,1611
0.3566,1608
0.3622,1605
0.3676,1612
0.3732,1610
0.3789,1605
0.3845,1609
0.3899,1611
0.3955,1607
0.4011,1606
0.4065,1610
0.4121,1610
0.4178,1604
0.4231,1610
0.4288,1610
0.4345,1605
0.4398,1610
0.4454,1608
0.4511,1603
0.4567,1610
0.4621,1609
0.4677,1606
0.4733,1609
0.4787,1611
0.4843,1607
0.49,1604
0.4953,1611
0.501,1608
0.5066,1604
0.5122,1609
0.5176,1612
0.5232,1604
0.5289,1608
0.5345,1613
0.5399,1606
0.5455,1610
0.5512,1610
0.5565,1605
0.5622,1607
0.5678,1611
0.5732,1608
0.5788,1605
0.5844,1611
0.59,1606
0.5954,1605
0.601,1611
0.6067,1608
0.6121,1604
0.6177,1611
0.6233,1610
0.6289,1606
0.6343,1605
0.6399,1609
0.6456,1611
0.6509,1603
0.6565,1609
0.6622,1610
0.6678,1604
0.6732,1606
0.6788,1609
0.6844,1608
0.6898,1605
0.6954,1610
0.7011,1609
0.7067,1604
0.712,1609
0.7177,1611
0.7233,1604
0.7289,1608
0.7343,1611
0.7399,1605
0.7456,1605
0.7509,1613
0.7566,1610
0.7622,1607
0.7678,1612
0.7732,1609
0.7789,1606
0.7842,1608
0.7899,1609
0.7955,1607
0.8012,1609
0.8065,1610
0.8121,1604
0.8177,1608
0.8234,1615
0.8287,1606
0.8343,1605
0.8399,1610
0.8456,1611
0.8512,1605
0.8566,1608
0.8621,1611
0.8677,1607
0.8734,1607
0.8787,1610
0.8844,1606
0.8899,1606
0.8955,1611
0.9012,1607
0.9065,1607
0.9122,1610
0.9177,1610
0.9233,1605
0.9287,1609
0.9343,1611
0.94,1605
0.9455,1608
0.9511,1608
0.9565,1605
0.9622,1607
0.9678,1611
0.9732,1606
0.9788,1608
0.9844,1609
0.9898,1606
0.9954,1607
1.0067,1608
1.0121,1608
1.0177,1609
1.0234,1607
1.0287,1610
1.0344,1611
1.04,1605
1.0456,1609
1.051,1611
1.0566,1606
1.0622,1608
1.0676,1612
1.0732,1608
1.0788,1605
1.0842,1609
1.0898,1610
1.0955,1604
1.1011,1605
1.1065,1612
1.1121,1609
1.1178,1606
1.1231,1609
1.1288,1609
1.1344,1605
1.14,1607
1.1454,1612
1.151,1608
1.1566,1606
1.1623,1611
1.1676,1607
1.1733,1606
1.1789,1610
1.1842,1608
1.1899,1604
1.1955,1610
1.2011,1610
1.2065,1607
1.2122,1610
1.2178,1611
1.2231,1606
1.2288,1608
1.2344,1612
1.2398,1606
1.2454,1605
1.2511,1610
1.2567,1608
1.2621,1608
1.2677,1610
1.2734,1609
1.2787,1606
1.2844,1611
1.29,1609
1.2954,1603
1.301,1607
1.3067,1612
1.3121,1605
1.3177,1608
1.3234,1610
1.3287,1602
1.3343,1609
1.34,1612
1.3456,1606
1.351,1607
1.3566,1612
1.3622,1606
1.3676,1606
1.3732,1612
1.3789,1608
1.3845,1604
1.3899,1609
1.3955,1610
1.4011,1605
1.4065,1607
1.4121,1612
1.4178,1608
1.4234,1606
1.4288,1610
1.4344,1608
1.44,1607
1.4454,1611
1.451,1607
1.4567,1607
1.462,1610
1.4677,1609
1.4733,1607
1.4787,1609
1.4844,1612
1.49,1603
1.4954,1609
1.501,1611
1.5067,1607
1.5123,1609
1.5177,1611
1.5233,1608
1.5287,1609
1.5343,1607
1.54,1606
1.5454,1611
1.551,1603
1.5566,1609
1.562,1611
1.5676,1607
1.5733,1610
1.5789,1610
1.5843,1608
1.5899,1607
1.5955,1611
1.6012,1609
1.6065,1606
1.6121,1611
1.6178,1607
1.6231,1607
1.6288,1612
1.6344,1608
1.64,1606
1.6457,1609
1.651,1608
1.6566,1607
1.6622,1610
1.6676,1608
1.6732,1605
1.6788,1610
1.6845,1611
1.6898,1605
1.6954,1608
1.7011,1608
1.7067,1606
1.7121,1608
1.7177,1613
1.7233,1607
1.729,1605
1.7343,1608
1.7399,1612
1.7456,1606
1.7509,1606
1.7566,1613
1.7622,1606
1.7676,1608
1.7732,1612
1.7788,1606
1.7845,1608
1.7898,1609
1.7955,1606
1.8011,1606
1.8065,1610
1.8121,1605
1.8178,1605
1.8234,1613
1.8288,1606
1.8344,1607
1.84,1610
1.8454,1607
1.851,1606
1.8567,1612
1.862,1606
1.8677,1608
1.8733,1611
1.8787,1610
1.8843,1605
1.89,1608
1.8956,1612
1.901,1607
1.9066,1606
1.9122,1611
1.9176,1606
1.9232,1608
1.9289,1612
1.9343,1607
1.9399,1604
1.9455,1611
1.9512,1611
1.9565,1602
1.9622,1608
1.9678,1612
1.9732,1605
1.9788,1606
1.9844,1610
1.9898,1610
1.9955,1606
2.0065,1611
2.0122,1604
2.0178,1609
2.0231,1611
2.0288,1606
2.0344,1606
2.04,1611
2.0454,1611
2.051,1606
2.0566,1608
2.0623,1612
2.0676,1606
2.0733,1607
2.0789,1610
2.0843,1609
2.0899,1605
2.0956,1611
2.1012,1609
2.1065,1606
2.1122,1609
2.1178,1610
2.1234,1605
2.1288,1608
2.1344,1609
2.14,1605
2.1454,1608
2.151,1612
2.1566,1606
2.1623,1605
2.1676,1611
2.1733,1609
2.1789,1606
2.1843,1608
2.1899,1609
2.1956,1606
2.2009,1607
2.2066,1612
2.2122,1605
2.2178,1606
2.2232,1611
2.2288,1607
2.2344,1605
2.2398,1611
2.2455,1609
2.2511,1607
2.2567,1610
2.2621,1611
2.2677,1606
2.2734,1608
2.2787,1613
2.2844,1606
2.29,1605
2.2954,1611
2.301,1610
2.3066,1605
2.3123,1607
2.3176,1610
2.3233,1608
2.3289,1608
2.3343,1613
2.3399,1608
2.3455,1605
2.3512,1609
2.3565,1607
2.3621,1606
2.3678,1610
2.3731,1610
2.3788,1605
2.3843,1608
2.3899,1610
2.3955,1605
2.4012,1608
2.4065,1612
2.4121,1608
2.4177,1606
2.4234,1611
2.4287,1608
2.4344,1605
2.4398,1609
2.4454,1611
2.451,1604
2.4567,1607
2.4623,1613
2.4677,1607
2.4733,1607
2.4789,1611
2.4843,1608
2.49,1604
2.4955,1611
2.5011,1608
2.5065,1605
2.5121,1609
2.5178,1610
2.5231,1605
2.5288,1609
2.5344,1611
2.54,1606
2.5454,1608
2.551,1611
2.5566,1607
2.5623,1607
2.5676,1611
2.5733,1609
2.5789,1604
2.5842,1608
2.5899,1609
2.5955,1604
2.6011,1609
2.6065,1610
2.6121,1607
2.6177,1607
2.6233,1611
2.629,1608
2.6343,1604
2.64,1610
2.6456,1611
2.6509,1604
2.6566,1609
2.6622,1613
2.6676,1605
2.6732,1607
2.6789,1612
2.6845,1607
2.6898,1607
2.6955,1611
2.7011,1606
2.7065,1607
2.7121,1610
2.7178,1609
2.7234,1604
2.7288,1609
2.7344,1609
2.7401,1604
2.7454,1608
2.7511,1610
2.7567,1607
2.7621,1605
2.7677,1610
2.7733,1609
2.7787,1605
2.7843,1609
2.79,1611
2.7956,1606
2.801,1606
2.8066,1613
2.8122,1607
2.8176,1605
2.8233,1610
2.8289,1608
2.8343,1603
2.8399,1609
2.8455,1611
2.8509,1605
2.8566,1606
2.8622,1611
2.8678,1605
2.8733,1605
2.8789,1612
2.8842,1608
2.8899,1603
2.8955,1608
2.9012,1613
2.9065,1606
2.9122,1607
2.9178,1611
2.9232,1608
2.9288,1606
2.9344,1610
2.9401,1610
2.9455,1604
2.9511,1608
2.9565,1612
2.9621,1607
2.9678,1606
2.9734,1610
2.9788,1607
2.9844,1605
2.99,1611
2.9954,1611
3.001,1605
3.0067,1609
3.0121,1611
3.0177,1605
3.0233,1608
3.0287,1610
3.0343,1606
3.04,1608
3.0456,1612
3.051,1606
3.0566,1605
3.0622,1612
3.0676,1610
3.0732,1607
3.0789,1611
3.0845,1611
3.0898,1603
3.0955,1607
3.1011,1609
3.1067,1607
3.1121,1607
3.1177,1611
3.1234,1606
3.1287,1606
3.1344,1610
3.14,1606
3.1456,1606
3.151,1612
3.1567,1607
3.162,1605
3.1676,1609
3.1733,1611
3.1789,1605
3.1843,1607
3.1899,1611
3.1956,1607
3.2009,1606
3.2066,1610
3.2122,1609
3.2178,1607
3.2232,1610
3.2289,1611
3.2345,1604
3.2399,1607
3.2455,1611
3.2511,1606
3.2565,1607
3.2621,1611
3.2678,1606
3.2731,1606
3.2788,1609
3.2844,1607
3.29,1606
3.2954,1611
3.3011,1608
3.3067,1607
3.3121,1611
3.3177,1607
3.3233,1607
3.3287,1610
3.3344,1606
3.34,1604
3.3454,1608
3.351,1609
3.3566,1606
3.3623,1605
3.3676,1611
3.3733,1604
3.3789,1607
3.3843,1612
3.3899,1607
3.3956,1608
3.4009,1612
3.4066,1607
3.4122,1605
3.4176,1608
3.4232,1609
3.4289,1605
3.4345,1613
3.4398,1609
3.4455,1605
3.4511,1609
3.4565,1612
3.4621,1606
3.4678,1608
3.4731,1610
3.4788,1608
3.4844,1606
3.49,1613
3.4954,1610
3.501,1605
3.5067,1606
3.512,1612
3.5177,1606
3.5233,1607
3.5289,1610
3.5343,1605
3.5399,1605
3.5455,1612
3.5509,1606
3.5566,1607
3.5622,1611
3.5676,1607
3.5732,1606
3.5788,1610
3.5844,1608
3.5901,1603
3.5954,1610
3.6011,1610
3.6067,1607
3.6121,1607
3.6177,1612
3.6233,1608
3.6287,1606
3.6343,1611
3.6399,1606
3.6456,1605
3.6509,1608
3.6566,1610
3.6622,1607
3.6676,1609
3.6732,1612
3.6789,1606
3.6842,1610
3.6899,1612
3.6955,1607
3.7009,1605
3.7065,1611
3.7122,1608
3.7178,1605
3.7232,1609
3.7288,1610
3.7344,1606
3.7398,1608
3.7455,1612
