Experiment: Feb_19_eric5_chem_expt vial 10, Thu Feb 18 15:24:31 2021
0.0039,0.0
0.0096,-0.0006608870429606339
0.015,0.000596163685469886
0.0207,-3.76735583803578e-05
0.026,-2.6911674114060702e-05
0.0317,0.0012083735409974539
0.0373,-4.3053903646450564e-05
0.0428,-4.843385100072872e-05
0.0484,-0.0013057921513338622
0.0541,-0.0006608870429606339
0.0594,-0.002377405127334975
0.0652,-0.002590702187216354
0.0705,-0.0012950104468900658
0.0762,-0.0027770083299094583
0.0816,-0.0029957368044285504
0.0873,-0.003006543609404555
0.0929,-0.00363581981855865
0.0983,-0.004051805767168348
0.104,-0.004473263819183115
0.1094,-0.005484276850320491
0.1151,-0.004832843214762406
0.1207,-0.0035844674031295654
0.1261,-0.0033279010371028983
0.1318,-0.0012272006763579535
0.1372,-0.002485278577482597
0.1428,-0.002485278577482597
0.1485,-0.0018454012866793157
0.1539,-0.002250412761273135
0.1596,-0.0014565688907760554
