Experiment: Mar_5_Turb_expt vial 13, Fri Mar  5 17:59:38 2021
0.0053,98
0.0107,99
0.0164,101
0.0218,100
0.0275,100
0.0329,102
0.0384,101
0.0441,100
0.0495,101
0.0552,100
0.0606,102
0.0663,101
0.0717,105
0.0774,103
0.0831,99
0.0885,100
0.0942,100
0.0996,101
0.1052,98
0.1106,102
0.1163,100
0.1217,100
0.1274,103
0.1331,101
0.1385,102
0.1442,101
0.1496,102
0.1553,100
0.1607,103
