Experiment: Mar_18_osmo_expt vial 4, Thu Mar 18 18:20:50 2021
0.0052,1617
0.0109,1614
0.0165,1607
0.0219,1609
0.0275,1615
0.0332,1610
0.0388,1609
0.0442,1615
0.0498,1613
0.0554,1607
0.0608,1610
0.0664,1616
0.072,1612
0.0777,1607
0.083,1615
0.0887,1616
0.0943,1606
0.0997,1607
0.1053,1616
0.111,1616
0.1163,1607
0.122,1611
0.1276,1616
0.1332,1609
0.1386,1607
0.1442,1614
0.1498,1615
0.1554,1609
0.1608,1610
0.1664,1615
0.1721,1612
0.1774,1606
0.183,1613
0.1887,1615
0.1943,1608
0.1997,1609
0.2053,1617
0.2109,1614
0.2166,1608
0.2219,1609
0.2276,1617
0.2332,1611
0.2386,1607
0.2442,1613
0.2498,1613
0.2555,1608
0.2608,1609
0.2665,1616
0.2721,1614
0.2775,1607
0.283,1610
0.2886,1616
0.2942,1611
0.2999,1605
0.3052,1612
0.3108,1615
0.3164,1611
0.3221,1606
0.3275,1612
0.3331,1614
0.3386,1607
0.3442,1610
0.3499,1615
0.3552,1610
0.3608,1607
0.3664,1612
0.372,1616
0.3774,1610
0.383,1609
0.3887,1614
0.3942,1613
0.3998,1607
0.4052,1610
0.4108,1616
0.4165,1610
0.422,1609
0.4277,1613
0.433,1613
0.4387,1605
0.4443,1608
0.4496,1617
0.4553,1613
0.4609,1607
0.4666,1612
0.4719,1614
0.4776,1609
0.4832,1607
0.4885,1615
0.4942,1611
0.4998,1605
0.5054,1613
0.5108,1616
0.5164,1609
0.522,1610
0.5277,1615
0.533,1610
0.5387,1608
0.5443,1613
0.5497,1612
0.5553,1606
0.561,1611
0.5666,1615
0.572,1609
0.5776,1609
0.5832,1614
0.5886,1610
0.5942,1609
0.5999,1614
0.6052,1613
0.6108,1609
0.6165,1613
0.6221,1613
0.6277,1606
0.6331,1608
0.6387,1616
0.6444,1611
0.6497,1605
0.6554,1612
0.661,1616
0.6663,1613
0.672,1608
0.6776,1616
0.6832,1612
0.6886,1606
0.6942,1613
0.6999,1615
0.7052,1608
0.7109,1609
0.7165,1615
0.7221,1610
0.7275,1607
0.7331,1615
0.7388,1613
0.7441,1609
0.7498,1610
0.7554,1614
0.7607,1609
0.7664,1606
0.772,1613
0.7777,1614
0.783,1608
0.7887,1609
0.7943,1614
0.7997,1610
0.8053,1605
0.8109,1611
0.8166,1615
0.8219,1610
0.8276,1607
0.8332,1614
0.8385,1615
0.8442,1608
0.8498,1611
0.8555,1618
0.8608,1613
0.8664,1606
0.872,1612
0.8777,1615
0.883,1608
0.8887,1606
0.8943,1614
0.8997,1616
0.9053,1609
0.9109,1607
0.9163,1614
0.9219,1612
0.9276,1606
0.9332,1612
0.9388,1615
0.9442,1611
0.9498,1606
0.9555,1614
0.9608,1616
0.9663,1609
0.972,1609
0.9776,1617
0.9832,1612
0.9886,1606
0.9941,1612
0.9998,1616
1.0054,1608
1.0108,1607
1.0164,1615
1.022,1614
1.0276,1608
1.0332,1611
1.0386,1616
1.0443,1609
1.0498,1608
1.0554,1614
1.0608,1615
1.0664,1607
1.072,1610
1.0776,1615
1.0832,1610
1.0886,1607
1.0942,1615
1.0999,1616
1.1054,1609
1.111,1606
1.1164,1612
1.122,1616
1.1276,1609
1.133,1609
1.1386,1615
1.1443,1612
1.1499,1607
1.1553,1611
1.1609,1616
1.1666,1610
1.1719,1611
1.1776,1613
1.1832,1607
1.1888,1611
1.1942,1615
1.1998,1610
1.2054,1608
1.2108,1616
1.2164,1612
1.222,1607
1.2277,1611
1.233,1615
1.2387,1610
1.2443,1606
1.2499,1614
1.2553,1616
1.2609,1607
1.2666,1608
1.2719,1615
1.2776,1614
1.2832,1608
1.2888,1610
1.2942,1616
1.2998,1615
1.3055,1607
1.3108,1610
1.3165,1617
1.3221,1611
1.3275,1606
1.3331,1611
1.3387,1615
1.3444,1612
1.3497,1606
1.3554,1612
1.361,1616
1.3664,1612
1.372,1608
1.3776,1615
1.383,1613
1.3886,1607
1.3943,1614
1.3999,1614
1.4053,1609
1.4109,1608
1.4166,1615
1.4219,1614
1.4275,1607
1.4332,1610
1.4388,1618
1.4442,1611
1.4498,1608
1.4554,1613
1.4608,1617
1.4664,1609
1.4721,1608
1.4777,1613
1.4831,1614
1.4887,1606
1.4943,1608
1.4997,1616
1.5053,1611
1.511,1607
1.5166,1613
1.522,1614
1.5276,1608
1.5333,1606
1.5386,1615
1.5443,1612
1.5499,1605
1.5553,1610
1.5609,1614
1.5665,1607
1.5722,1608
1.5775,1620
1.5832,1614
