Experiment: Feb_8_Batch_expt_zeroed vial 0, Mon Feb  8 17:45:06 2021
0.0049,0.0
0.0103,-0.003494849308101927
0.0159,-0.005023762734437623
0.0213,-0.007895965028016108
0.0269,-0.011843788984706241
0.0326,-0.01366716908112868
0.0382,-0.014099191548796242
0.0436,-0.017214696734232204
0.0492,-0.02017491865815242
0.0546,-0.022505656066635668
0.0602,-0.021097888818326346
0.0659,-0.023371496526977356
0.0715,-0.025338982243184954
0.0769,-0.026989291249333677
0.0826,-0.024920723999939276
0.088,-0.02699084176782382
0.0936,-0.02787732414726203
0.0992,-0.024716900911617254
0.1046,-0.024521879558143597
0.1102,-0.029195234751920485
0.1159,-0.02420677915492131
0.1215,-0.027328803409670768
0.1269,-0.025147592920143833
0.1325,-0.02620989061063711
0.1381,-0.026131653930152418
0.1435,-0.022538870838953784
0.1491,-0.025523702124414363
0.1548,-0.02762386150338586
0.1604,-0.02933302740673413
0.1658,-0.02945090925425506
0.1715,-0.02825237567057587
0.1768,-0.027290664162864783
0.1825,-0.02764392973915565
0.1881,-0.0296059216643121
0.1938,-0.030686289801847746
0.2032,-0.028604926470498046
0.2046,-0.033140268801495246
0.2103,-0.0330585983168028
0.216,-0.03201498302634931
0.2213,-0.034021021127381285
0.2269,-0.03152434884628885
0.2359,-0.030327783510387576
0.238,-0.03079417207854826
0.2436,-0.030484042821643173
0.2493,-0.03248326334687028
0.2607,-0.033617316919414025
0.2622,-0.03159622561426714
0.2659,-0.03147995579334875
0.2713,-0.03246061462068778
0.282,-0.02847022025700066
0.2827,-0.032060447750903956
0.2881,-0.03337138685200304
0.2937,-0.034527012870909216
0.3039,-0.03488189983819508
0.3046,-0.035573152226483634
0.3103,-0.03243977937927202
0.3159,-0.034098845296727714
0.3254,-0.034943261211249646
0.3271,-0.036006490443850195
0.3324,-0.035167966306212994
0.3381,-0.03689150896034055
0.3437,-0.032686331165836496
0.354,-0.03378365273026436
0.3567,-0.032905921947152986
0.3604,-0.03360918804875919
0.3658,-0.03806608411555441
0.3764,-0.03582751419069796
0.3788,-0.0381525271666457
0.3825,-0.03605464149678307
0.3881,-0.03463641542025708
0.398,-0.034094690120616084
0.3991,-0.03842462718303792
0.4047,-0.03629345878640658
0.4104,-0.03676146867283217
0.4158,-0.04034321079248847
0.4214,-0.03847223898014712
0.427,-0.03924827380021277
0.4327,-0.03804028044373929
0.438,-0.036851979780986255
0.4437,-0.038101046782773
0.4493,-0.03902615422415509
0.4547,-0.03898552558711421
0.4603,-0.03654071790808748
0.466,-0.03369407943227269
0.4713,-0.03722014521753536
0.477,-0.035607985107184256
0.4826,-0.03688567203336135
0.488,-0.03398075054350029
0.4937,-0.03446568357987219
0.4993,-0.034102152159575766
0.5047,-0.0365900007188938
0.5103,-0.03382882063893776
0.5159,-0.03280868092565467
0.5216,-0.033755902803458734
0.5269,-0.034762380258294215
0.5326,-0.03508401643906313
0.5379,-0.034837404697687396
0.5436,-0.0340666049682999
0.5492,-0.03252259106144034
0.5549,-0.03201642025868738
0.5602,-0.03335284420871788
0.5659,-0.03278850199465387
0.5715,-0.0334137595464576
0.5769,-0.03398955503166114
0.5825,-0.032176713061219026
0.5881,-0.03490712044335782
0.5938,-0.03610158478422529
0.5992,-0.035835430483187145
0.6048,-0.034532059642115795
0.6102,-0.03313154679484584
