Experiment: Feb_19_eric7_chem_expt vial 13, Thu Feb 18 15:47:28 2021
0.0023,1622
0.0072,1630
0.0125,1631
0.0182,1623
0.0236,1623
0.0292,1625
0.0349,1630
0.0403,1627
0.046,1622
0.0516,1624
0.057,1630
0.0627,1632
0.0681,1624
0.0737,1620
0.0794,1622
0.0848,1631
0.0905,1629
0.0959,1622
0.1015,1623
0.1072,1626
0.1126,1629
0.1182,1627
0.1236,1622
0.1293,1623
0.135,1628
0.1403,1631
0.1459,1625
0.1516,1622
0.157,1626
0.1627,1627
0.1681,1625
0.1738,1623
0.1849,1629
0.1905,1626
0.196,1621
0.4459,1622
0.4516,1623
0.457,1629
0.4627,1627
0.4681,1623
0.4738,1622
0.4792,1627
0.4849,1630
0.4906,1628
0.496,1621
0.5016,1624
0.507,1631
