Experiment: Feb_19_eric7_chem_expt vial 12, Thu Feb 18 15:47:28 2021
0.0023,1615
0.0072,1612
0.0125,1611
0.0182,1613
0.0236,1613
0.0292,1610
0.0349,1610
0.0403,1615
0.046,1616
0.0516,1608
0.057,1609
0.0627,1616
0.0681,1615
0.0737,1611
0.0794,1609
0.0848,1613
0.0905,1615
0.0959,1610
0.1015,1607
0.1072,1612
0.1126,1616
0.1182,1612
0.1236,1609
0.1293,1614
0.135,1615
0.1403,1611
0.1459,1609
0.1516,1614
0.157,1615
0.1627,1612
0.1681,1611
0.1738,1615
0.1849,1609
0.1905,1610
0.196,1616
0.4459,1611
0.4516,1609
0.457,1613
0.4627,1616
0.4681,1610
0.4738,1610
0.4792,1614
0.4849,1615
0.4906,1610
0.496,1607
0.5016,1612
0.507,1614
