Experiment: Feb_19_eric7_chem_expt vial 15, Thu Feb 18 15:47:28 2021
0.0023,1637
0.0072,1634
0.0125,1631
0.0182,1629
0.0236,1636
0.0292,1634
0.0349,1628
0.0403,1629
0.046,1633
0.0516,1633
0.057,1629
0.0627,1628
0.0681,1633
0.0737,1635
0.0794,1630
0.0848,1629
0.0905,1632
0.0959,1635
0.1015,1632
0.1072,1626
0.1126,1630
0.1182,1634
0.1236,1634
0.1293,1629
0.135,1630
0.1403,1633
0.1459,1634
0.1516,1631
0.157,1628
0.1627,1630
0.1681,1635
0.1738,1631
0.1849,1629
0.1905,1632
0.196,1633
0.4459,1633
0.4516,1634
0.457,1629
0.4627,1628
0.4681,1630
0.4738,1636
0.4792,1633
0.4849,1629
0.4906,1631
0.496,1635
0.5016,1632
0.507,1628
