Experiment: Feb_19_eric7_chem_expt vial 11, Thu Feb 18 15:47:28 2021
0.0023,1627
0.0072,1621
0.0125,1623
0.0182,1627
0.0236,1622
0.0292,1622
0.0349,1627
0.0403,1622
0.046,1621
0.0516,1626
0.057,1623
0.0627,1621
0.0681,1627
0.0737,1625
0.0794,1621
0.0848,1624
0.0905,1627
0.0959,1621
0.1015,1623
0.1072,1627
0.1126,1621
0.1182,1622
0.1236,1629
0.1293,1624
0.135,1620
0.1403,1623
0.1459,1629
0.1516,1622
0.157,1623
0.1627,1627
0.1681,1623
0.1738,1622
0.1849,1625
0.1905,1620
0.196,1626
0.4459,1628
0.4516,1624
0.457,1620
0.4627,1622
0.4681,1627
0.4738,1622
0.4792,1622
0.4849,1626
0.4906,1623
0.496,1619
0.5016,1625
0.507,1624
