Experiment: Feb_19_eric7_chem_expt vial 9, Thu Feb 18 15:47:28 2021
0.0023,1624
0.0072,1624
0.0125,1622
0.0182,1625
0.0236,1620
0.0292,1625
0.0349,1622
0.0403,1621
0.046,1626
0.0516,1621
0.057,1625
0.0627,1623
0.0681,1621
0.0737,1621
0.0794,1624
0.0848,1620
0.0905,1622
0.0959,1624
0.1015,1621
0.1072,1621
0.1126,1624
0.1182,1621
0.1236,1623
0.1293,1626
0.135,1621
0.1403,1624
0.1459,1622
0.1516,1622
0.157,1623
0.1627,1623
0.1681,1624
0.1738,1622
0.1849,1624
0.1905,1622
0.196,1624
0.4459,1623
0.4516,1622
0.457,1623
0.4627,1623
0.4681,1622
0.4738,1625
0.4792,1622
0.4849,1622
0.4906,1624
0.496,1622
0.5016,1623
0.507,1624
