Experiment: Feb_19_eric7_chem_expt vial 5, Thu Feb 18 15:47:28 2021
0.0023,1609
0.0072,1614
0.0125,1612
0.0182,1611
0.0236,1614
0.0292,1609
0.0349,1611
0.0403,1611
0.046,1612
0.0516,1613
0.057,1613
0.0627,1614
0.0681,1611
0.0737,1610
0.0794,1612
0.0848,1613
0.0905,1610
0.0959,1615
0.1015,1609
0.1072,1610
0.1126,1614
0.1182,1610
0.1236,1614
0.1293,1612
0.135,1609
0.1403,1613
0.1459,1611
0.1516,1612
0.157,1614
0.1627,1609
0.1681,1612
0.1738,1611
0.1849,1615
0.1905,1609
0.196,1611
0.4459,1611
0.4516,1612
0.457,1613
0.4627,1608
0.4681,1614
0.4738,1612
0.4792,1609
0.4849,1615
0.4906,1611
0.496,1612
0.5016,1613
0.507,1611
