Experiment: Feb_19_eric7_chem_expt vial 6, Thu Feb 18 15:47:28 2021
0.0023,1608
0.0072,1608
0.0125,1604
0.0182,1604
0.0236,1608
0.0292,1607
0.0349,1604
0.0403,1606
0.046,1610
0.0516,1604
0.057,1603
0.0627,1609
0.0681,1607
0.0737,1602
0.0794,1603
0.0848,1610
0.0905,1605
0.0959,1603
0.1015,1606
0.1072,1608
0.1126,1605
0.1182,1604
0.1236,1606
0.1293,1608
0.135,1602
0.1403,1601
0.1459,1609
0.1516,1611
0.157,1603
0.1627,1603
0.1681,1610
0.1738,1607
0.1849,1602
0.1905,1609
0.196,1607
0.4459,1607
0.4516,1604
0.457,1606
0.4627,1609
0.4681,1603
0.4738,1604
0.4792,1608
0.4849,1606
0.4906,1602
0.496,1604
0.5016,1608
0.507,1604
