Experiment: Feb_19_eric7_chem_expt vial 3, Thu Feb 18 15:47:28 2021
0.0023,1622
0.0072,1625
0.0125,1628
0.0182,1623
0.0236,1627
0.0292,1626
0.0349,1624
0.0403,1628
0.046,1625
0.0516,1625
0.057,1628
0.0627,1623
0.0681,1625
0.0737,1627
0.0794,1623
0.0848,1629
0.0905,1625
0.0959,1625
0.1015,1627
0.1072,1623
0.1126,1624
0.1182,1629
0.1236,1624
0.1293,1626
0.135,1627
0.1403,1621
0.1459,1628
0.1516,1627
0.157,1623
0.1627,1627
0.1681,1626
0.1738,1621
0.1849,1625
0.1905,1623
0.196,1630
0.4459,1627
0.4516,1622
0.457,1628
0.4627,1624
0.4681,1623
0.4738,1629
0.4792,1626
0.4849,1626
0.4906,1630
0.496,1624
0.5016,1624
0.507,1627
