Experiment: Feb_24_Turb_expt vial 2, Wed Feb 24 18:13:41 2021
0.0013,54231
0.0067,54244
0.0121,54244
0.0177,54249
0.0233,54258
0.0287,54268
0.0343,54267
0.04,54282
0.0456,54275
0.051,54281
0.0566,54277
0.0622,54291
0.0676,54299
0.0732,54306
0.0789,54224
0.0845,54320
0.0899,54303
0.0955,54330
0.1011,54335
0.1065,54342
0.1121,54315
0.1177,54337
0.1234,54345
0.1288,54340
0.1344,54346
0.14,53958
0.1454,54358
0.151,54368
0.1567,54374
0.162,54379
0.1677,53938
0.1733,54380
0.1789,54364
0.1843,54352
0.1899,54362
0.1955,54366
0.2012,54372
0.2065,54364
0.2122,54367
0.2178,54226
0.2232,54070
0.2288,54380
0.2344,54376
0.2401,54370
0.2454,54369
0.2511,54348
0.2567,54316
0.2621,53674
0.2677,54212
0.2733,54362
0.2787,54372
0.2844,54371
0.29,54365
0.2956,54368
0.301,54365
0.3066,54367
0.3123,54354
0.3176,54364
0.3233,54375
0.3289,54359
0.3343,54356
0.3399,54369
0.3456,54357
0.3509,54360
0.3566,54356
0.3622,54360
0.3676,54359
0.3732,54362
0.3789,54357
0.3845,54358
0.3899,54369
0.3955,54376
0.4011,54366
0.4065,54360
0.4121,54358
0.4178,54367
0.4231,54357
0.4288,54366
0.4345,54365
0.4398,54361
0.4454,54364
0.4511,54354
0.4567,54364
0.4621,54364
0.4677,54376
0.4733,54360
0.4787,54360
0.4843,54370
0.49,54370
0.4953,54364
0.501,54361
0.5066,54359
0.5122,54354
0.5176,54351
0.5232,54366
0.5289,54351
0.5345,54359
0.5399,54369
0.5455,54366
0.5512,54363
0.5565,54363
0.5622,54347
0.5678,54358
0.5732,54361
0.5788,54346
0.5844,54353
0.59,54356
0.5954,54353
0.601,54358
0.6067,54368
0.6121,54362
0.6177,54347
0.6233,54362
0.6289,54360
0.6343,54366
0.6399,54353
0.6456,54121
0.6509,54352
0.6565,53943
0.6622,54357
0.6678,54381
0.6732,54196
0.6788,54354
0.6844,54226
0.6898,54296
0.6954,54355
0.7011,54151
0.7067,54354
0.712,54076
0.7177,54261
0.7233,54366
0.7289,54245
0.7343,54231
0.7399,54327
