Experiment: Feb_24_Turb_expt vial 12, Wed Feb 24 18:13:41 2021
2.2344,56564
2.2398,56570
2.2455,56564
2.2511,56569
2.2567,56569
2.2621,56556
2.2677,56561
2.2734,56559
2.2787,56559
2.2844,56566
2.29,56566
2.2954,56560
2.301,56552
2.3066,56550
2.3123,56558
2.3176,56546
2.3233,56552
2.3289,56556
2.3343,56557
2.3399,56559
2.3455,56560
2.3512,56556
2.3565,56552
2.3621,56553
2.3678,56551
2.3731,56554
2.3788,56555
2.3843,56556
2.3899,56563
2.3955,56563
2.4012,56561
2.4065,56556
2.4121,56565
2.4177,56563
2.4234,56566
2.4287,56566
2.4344,56560
2.4398,56551
2.4454,56560
2.451,56558
2.4567,56553
2.4623,56549
2.4677,56551
2.4733,56547
2.4789,56549
2.4843,56558
2.49,56556
2.4955,56554
2.5011,56558
2.5065,56558
2.5121,56556
2.5178,56556
2.5231,56557
2.5288,56553
2.5344,56557
2.54,56553
2.5454,56549
2.551,56550
2.5566,56547
2.5623,56541
2.5676,56545
2.5733,56540
2.5789,56542
2.5842,56546
2.5899,56545
2.5955,56552
2.6011,56547
2.6065,56552
2.6121,56556
2.6177,56553
2.6233,56553
2.629,56559
2.6343,56552
2.64,56552
2.6456,56547
2.6509,56552
2.6566,56551
2.6622,56547
2.6676,56542
2.6732,56542
2.6789,56543
2.6845,56542
2.6898,56539
2.6955,56547
2.7011,56545
2.7065,56542
2.7121,56541
2.7178,56535
2.7234,56544
2.7288,56538
2.7344,56540
2.7401,56540
2.7454,56537
2.7511,56542
2.7567,56542
2.7621,56543
2.7677,56537
2.7733,56539
2.7787,56537
2.7843,56540
2.79,56537
2.7956,56539
2.801,56535
2.8066,56535
2.8122,56536
2.8176,56532
2.8233,56540
2.8289,56540
2.8343,56531
2.8399,56535
2.8455,56541
2.8509,56536
2.8566,56536
2.8622,56539
2.8678,56542
2.8733,56545
2.8789,56543
2.8842,56539
2.8899,56541
2.8955,56536
2.9012,56544
2.9065,56544
2.9122,56540
2.9178,56540
2.9232,56542
2.9288,56529
2.9344,56533
2.9401,56533
2.9455,56532
2.9511,56535
2.9565,56529
2.9621,56527
2.9678,56530
2.9734,56524
2.9788,56534
2.9844,56534
2.99,56524
2.9954,56535
3.001,56524
3.0067,56522
3.0121,56534
3.0177,56539
3.0233,56531
3.0287,56535
3.0343,56530
3.04,56533
3.0456,56535
3.051,56535
3.0566,56530
3.0622,56530
3.0676,56528
3.0732,56526
3.0789,56525
3.0845,56535
3.0898,56526
3.0955,56526
3.1011,56526
3.1067,56524
3.1121,56518
3.1177,56525
3.1234,56523
3.1287,56518
3.1344,56527
3.14,56520
3.1456,56517
3.151,56519
3.1567,56519
3.162,56511
3.1676,56514
3.1733,56513
3.1789,56521
3.1843,56514
3.1899,56506
3.1956,56511
3.2009,56511
3.2066,56504
3.2122,56507
3.2178,56510
3.2232,56514
3.2289,56513
3.2345,56513
3.2399,56516
3.2455,56519
3.2511,56516
3.2565,56513
3.2621,56501
3.2678,56498
3.2731,56500
3.2788,56495
3.2844,56497
3.29,56500
3.2954,56507
3.3011,56516
3.3067,56520
3.3121,56528
3.3177,56529
3.3233,56523
3.3287,56530
3.3344,56533
3.34,56531
3.3454,56526
3.351,56537
3.3566,56543
3.3623,56541
3.3676,56529
3.3733,56521
3.3789,56532
3.3843,56541
3.3899,56546
3.3956,56539
3.4009,56527
3.4066,56536
3.4122,56534
3.4176,56534
3.4232,56533
3.4289,56529
3.4345,56536
3.4398,56530
3.4455,56540
3.4511,56538
3.4565,56537
3.4621,56543
3.4678,56543
3.4731,56533
3.4788,56527
3.4844,56539
3.49,56542
3.4954,56554
3.501,56538
3.5067,56538
3.512,56530
3.5177,56530
3.5233,56536
3.5289,56534
3.5343,56529
3.5399,56533
3.5455,56530
3.5509,56528
3.5566,56527
3.5622,56534
3.5676,56536
3.5732,56522
3.5788,56538
3.5844,56537
3.5901,56532
3.5954,56542
3.6011,56537
3.6067,56526
3.6121,56530
3.6177,56522
3.6233,56515
3.6287,56535
3.6343,56526
3.6399,56532
3.6456,56539
3.6509,56541
3.6566,56533
3.6622,56538
3.6676,56521
3.6732,56528
3.6789,56524
3.6842,56534
3.6899,56523
3.6955,56526
3.7009,56523
3.7065,56517
3.7122,56514
3.7178,56525
3.7232,56525
3.7288,56525
3.7344,56528
3.7398,56534
3.7455,56529
3.7511,56517
3.7565,56526
3.7621,56533
3.7678,56522
3.7731,56523
3.7788,56523
3.7844,56524
3.7898,56540
3.7954,56536
3.8011,56542
3.8067,56534
3.8121,56528
3.8177,56549
3.8231,56553
3.8287,56554
3.8344,56543
3.84,56541
3.8454,56534
3.851,56529
3.8567,56534
3.862,56532
3.8677,56530
3.8733,56533
3.8789,56542
3.8843,56535
3.8899,56543
3.8953,56539
3.901,56541
3.9066,56545
3.9122,56543
3.9176,56549
3.9233,56541
3.9289,56556
3.9343,56563
3.9399,56565
3.9455,56562
3.9509,56561
3.9565,56561
3.9622,56553
3.9675,56542
3.9732,56540
3.9788,56533
3.9844,56539
3.9898,56533
3.9954,56532
4.0011,56530
4.0065,56521
4.0121,56521
4.0176,56516
4.0232,56515
4.0288,56520
4.0345,56522
4.0398,56522
4.0454,56531
4.051,56537
4.0566,56536
4.062,56535
4.0676,56532
4.0732,56520
4.0788,56524
4.0842,56543
4.0898,56545
4.0955,56539
4.101,56535
4.1066,56538
4.112,56541
4.1176,56555
4.1232,56549
4.1288,56557
4.1344,56555
4.1398,56564
4.1454,56564
4.1511,56555
4.1564,56562
4.1621,56567
4.1677,56562
4.1734,56557
4.1787,56540
4.1844,56540
4.19,56539
4.1953,56540
4.201,56540
4.2066,56541
4.212,56540
4.2176,56540
4.2233,56535
4.2287,56550
4.2343,56547
4.24,56549
4.2453,56550
4.251,56544
4.2566,56543
4.262,56544
4.2676,56542
4.2732,56541
4.2789,56546
4.2842,56547
4.2899,56541
4.2955,56543
4.3009,56539
4.3065,56542
4.3122,56550
4.3175,56550
4.3232,56551
4.3288,56550
4.3342,56548
4.3398,56544
4.3455,56545
4.3508,56540
4.3565,56542
4.3621,56536
4.3678,56544
4.3731,56543
4.3788,56542
4.3844,56541
4.3898,56544
4.3954,56541
4.401,56536
4.4067,56537
4.412,56549
4.4177,56545
4.423,56541
4.4287,56541
4.4343,56541
4.44,56538
4.4453,56538
4.451,56536
4.4566,56540
4.462,56533
4.4676,56536
4.4733,56542
4.4789,56548
4.4843,56537
4.4899,56539
4.4953,56533
4.5009,56537
4.5065,56535
4.5122,56534
4.5175,56535
4.5232,56536
4.5288,56534
4.5344,56544
4.5398,56538
4.5454,56547
4.5511,56543
4.5564,56544
4.5621,56549
4.5677,56543
4.5733,56550
4.5787,56550
4.5842,56543
4.5899,56543
4.5955,56546
4.6009,56547
4.6065,56547
4.6121,56549
4.6177,56552
4.6231,56550
4.6287,56542
4.6344,56550
4.6397,56551
4.6454,56549
4.651,56549
4.6566,56553
4.662,56551
4.6676,56552
4.6733,56550
4.6787,56557
4.6843,56551
4.6899,56546
4.6955,56552
4.7009,56553
4.7065,56555
4.7122,56554
4.7175,56560
4.7232,56557
4.7289,56559
4.7342,56558
4.7399,56552
4.7455,56557
4.7509,56554
4.7565,56553
4.7622,56562
4.7676,56554
4.7732,56559
4.7788,56557
4.7842,56558
4.7898,56547
4.7955,56546
4.8009,56551
4.8065,56553
4.8121,56551
4.8175,56554
4.8231,56548
4.8288,56545
4.8344,56545
4.8398,56541
4.8454,56545
4.8511,56550
4.8564,56551
4.8621,56549
4.8677,56555
4.8731,56547
4.8787,56539
4.8844,56545
4.8897,56549
4.8954,56544
4.901,56540
4.9067,56548
4.912,56545
4.9177,56533
4.9233,56540
4.9287,56537
4.9343,56540
4.94,56541
4.9456,56546
4.9509,56544
4.9566,56541
4.9622,56542
4.9676,56541
4.9733,56538
4.9789,56541
4.9843,56539
4.9899,56537
4.9955,56534
5.0009,56539
5.0066,56540
5.012,56544
5.0176,56533
5.0233,56543
5.0289,56544
5.0343,56537
5.0399,56528
