Experiment: Feb_23_chemo_expt vial 7, Tue Feb 23 14:42:27 2021
0.0045,28528
0.0102,28532
0.0159,28525
0.0215,28524
0.0269,28537
0.0325,28522
0.0382,28517
0.0435,28530
0.0492,28524
0.0548,28524
0.0604,28518
0.0658,28513
0.0714,28513
0.0771,28513
0.0825,28508
0.0881,28521
0.0937,28504
0.0991,28520
0.1047,28514
0.1104,28553
0.1157,28552
0.1214,28529
0.127,28569
0.1327,28559
0.138,28554
0.1437,28526
0.1493,28554
0.1547,28553
0.1603,28548
0.166,28557
0.1713,28551
0.177,28551
0.1824,28547
0.188,28536
0.1936,28550
0.1993,28547
