Experiment: Feb_23_chemo_expt vial 5, Tue Feb 23 14:42:27 2021
0.0045,28019
0.0102,28015
0.0159,27999
0.0215,28006
0.0269,28020
0.0325,28001
0.0382,28011
0.0435,28022
0.0492,28018
0.0548,28010
0.0604,28008
0.0658,28013
0.0714,28014
0.0771,28018
0.0825,28016
0.0881,28028
0.0937,28016
0.0991,28020
0.1047,28025
0.1104,28022
0.1157,28029
0.1214,28031
0.127,28039
0.1327,27995
0.138,28004
0.1437,28042
0.1493,28048
0.1547,27982
0.1603,28026
0.166,28019
0.1713,28028
0.177,28019
0.1824,28023
0.188,28025
0.1936,28025
0.1993,28008
