Experiment: Feb_23_chemo_expt vial 10, Tue Feb 23 14:42:27 2021
0.0045,28839
0.0102,28870
0.0159,28848
0.0215,28893
0.0269,28880
0.0325,28869
0.0382,28857
0.0435,28861
0.0492,28857
0.0548,28837
0.0604,28846
0.0658,28856
0.0714,28834
0.0771,28817
0.0825,28853
0.0881,28851
0.0937,28857
0.0991,28845
0.1047,28844
0.1104,28820
0.1157,28808
0.1214,28858
0.127,28831
0.1327,28826
0.138,28838
0.1437,28877
0.1493,28892
0.1547,28874
0.1603,28892
0.166,28895
0.1713,28872
0.177,28886
0.1824,28882
0.188,28865
0.1936,28891
0.1993,28871
