Experiment: Feb_23_chemo_expt vial 3, Tue Feb 23 14:42:27 2021
0.0045,28431
0.0102,28431
0.0159,28405
0.0215,28414
0.0269,28437
0.0325,28394
0.0382,28420
0.0435,28427
0.0492,28423
0.0548,28424
0.0604,28429
0.0658,28422
0.0714,28424
0.0771,28424
0.0825,28423
0.0881,28445
0.0937,28416
0.0991,28421
0.1047,28423
0.1104,28453
0.1157,28482
0.1214,28456
0.127,28474
0.1327,28424
0.138,28503
0.1437,28472
0.1493,28513
0.1547,28466
0.1603,28484
0.166,28490
0.1713,28491
0.177,28495
0.1824,28484
0.188,28473
0.1936,28497
0.1993,28485
