Experiment: Feb_23_chemo_expt vial 2, Tue Feb 23 14:42:27 2021
0.0045,28682
0.0102,28705
0.0159,28670
0.0215,28657
0.0269,28666
0.0325,28572
0.0382,28596
0.0435,28729
0.0492,28626
0.0548,28714
0.0604,28720
0.0658,28737
0.0714,28646
0.0771,28661
0.0825,28591
0.0881,28621
0.0937,28651
0.0991,28630
0.1047,28534
0.1104,28684
0.1157,28615
0.1214,28700
0.127,28550
0.1327,28588
0.138,28714
0.1437,28760
0.1493,28725
0.1547,28631
0.1603,28739
0.166,28741
0.1713,28758
0.177,28733
0.1824,28512
0.188,28674
0.1936,28558
0.1993,28706
