Experiment: Feb_23_chemo_expt vial 0, Tue Feb 23 14:42:27 2021
0.0045,26045
0.0102,26048
0.0159,26016
0.0215,26028
0.0269,26038
0.0325,26016
0.0382,26032
0.0435,26037
0.0492,26026
0.0548,26025
0.0604,26016
0.0658,26035
0.0714,26031
0.0771,26038
0.0825,26019
0.0881,26012
0.0937,26002
0.0991,26000
0.1047,26010
0.1104,25990
0.1157,25994
0.1214,26000
0.127,26003
0.1327,26006
0.138,26021
0.1437,26003
0.1493,26034
0.1547,26027
0.1603,26001
0.166,26010
0.1713,26002
0.177,26014
0.1824,26000
0.188,26018
0.1936,26040
0.1993,26046
