Experiment: Feb_23_chemo_expt vial 1, Tue Feb 23 14:42:27 2021
0.0045,28757
0.0102,28752
0.0159,28716
0.0215,28727
0.0269,28756
0.0325,28712
0.0382,28748
0.0435,28741
0.0492,28745
0.0548,28738
0.0604,28733
0.0658,28744
0.0714,28735
0.0771,28735
0.0825,28730
0.0881,28712
0.0937,28723
0.0991,28716
0.1047,28731
0.1104,28714
0.1157,28745
0.1214,28732
0.127,28733
0.1327,28734
0.138,28769
0.1437,28735
0.1493,28776
0.1547,28761
0.1603,28747
0.166,28757
0.1713,28751
0.177,28748
0.1824,28745
0.188,28754
0.1936,28772
0.1993,28761
