Experiment: Feb_23_chemo_expt vial 14, Tue Feb 23 14:42:27 2021
0.0045,29939
0.0102,29940
0.0159,29940
0.0215,29940
0.0269,29937
0.0325,29930
0.0382,29934
0.0435,29932
0.0492,29928
0.0548,29909
0.0604,29913
0.0658,29903
0.0714,29901
0.0771,29901
0.0825,29900
0.0881,29904
0.0937,29901
0.0991,29897
0.1047,29892
0.1104,29891
0.1157,29890
0.1214,29889
0.127,29888
0.1327,29873
0.138,29884
0.1437,29883
0.1493,29884
0.1547,29819
0.1603,29827
0.166,29844
0.1713,29834
0.177,29840
0.1824,29836
0.188,29843
0.1936,29855
0.1993,29837
